comparison,mean_diff,ci_lo,ci_hi,ttest_p_nb,r3_adopt
B3d - B1d,0.0035577493191871535,-0.019566159489349966,0.026681658127724276,0.7462948196257873,False
B4d - B1d,0.004946970687090587,-0.011922041924739005,0.02181598329892018,0.5394929407816864,False
