family,dataset,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,holm_p,passes_mde_gate,verdict
oral_mixup,oral_diseases,A5,A0,15,0.7438928663928664,0.7071168159326054,-0.036776050460260994,0.03991709172682694,-0.0849535407708002,0.011401439850278208,0.12385882139756972,0.022462602263403054,0.032,0.06767625961150876,0.766241984702859,False,0.24771764279513944,False,검출 불가 (검정력 부족)
oral_mixup,oral_diseases,A5s,A0,15,0.7438928663928664,0.7383364101785155,-0.005556456214350977,0.033623416048353096,-0.046137864598571623,0.03502495216986967,0.7733210043754614,0.01892095312453556,0.032,0.05700583221559756,0.22895945232284684,False,0.7733210043754614,False,검출 불가 (검정력 부족)
aptos_mixup,aptos2019,B5,B0,15,0.6457036359493563,0.644048393316875,-0.0016552426324812687,0.019968223198021776,-0.025755667739224143,0.022445182474261603,0.8849906933119693,0.01123674687208171,0.019,0.03385453695820379,0.062420250110027546,False,1.0,False,검출 불가 (검정력 부족)
aptos_mixup,aptos2019,B5s,B0,15,0.6457036359493563,0.6462757317609816,0.0005720958116253394,0.015445457849307164,-0.018069627913370814,0.01921381953662149,0.9484507552895772,0.008691644642336838,0.019,0.026186547416374585,0.02110580044152368,True,1.0,False,검출 불가 (검정력 부족)
oral_d2,oral_diseases,A2d,A0d,15,0.6974539495592127,0.6955247822353086,-0.0019291673239041796,0.012306558445285666,-0.016782431291914326,0.012924096644105968,0.7846482330715068,0.006925287279934563,0.032,0.020864792705016132,0.010298500154202412,True,0.7846482330715068,False,효과 없음
aptos_d2,aptos2019,B1d,B0d,15,0.6282280398333026,0.632086311758716,0.0038582719254135257,0.009019965354650434,-0.0070282750316890095,0.01474481888251606,0.45978825330634493,0.005075818037490424,0.019,0.015292635074861501,0.0033397019661394736,True,0.9343755315538635,False,효과 없음
aptos_d2,aptos2019,B3d,B0d,15,0.6282280398333026,0.635644061077903,0.007416021244600679,0.016501940142293493,-0.012500812044537343,0.0273328545337387,0.43785513735950765,0.009286160437928504,0.019,0.027977729259591213,0.0984189999968443,False,0.9343755315538635,False,검출 불가 (검정력 부족)
aptos_d2,aptos2019,B4d,B0d,15,0.6282280398333026,0.6370332824458066,0.008805242612504113,0.014900688695028015,-0.009178978035079078,0.026789463260087305,0.31145851051795453,0.008385085915020567,0.019,0.025262934569886573,0.10157734795880781,False,0.9343755315538635,False,검출 불가 (검정력 부족)
