method,n,BACC,macro_F1,MCC,macro_AUPRC,Brier,NLL
BitFit,54,0.7773809523809524,0.7619960105254223,0.7273122985294032,0.8466514437706881,0.3595826656583448,0.7215991787166119
LN-tuning,54,0.8107142857142856,0.7786935286935288,0.7502024246814444,0.8418297879721923,0.3127963298517715,0.6511861881818225
LoRA,54,0.8107142857142856,0.777000800320128,0.7518140303198578,0.860928065309818,0.3039420366269735,0.6586448577956431
LoRA-fusion,54,0.7948412698412698,0.7814729130518605,0.7602688514288332,0.8163001351494906,0.37389571351229073,0.7572239519198957
