method,n,BACC,macro_F1,MCC,macro_AUPRC,Brier,NLL,QWK,EC_lin,EC_quad,RPS
BitFit,554,0.645477288045461,0.6323692383450632,0.6858182181991268,0.6856736935078752,0.28310746186753494,0.5216355693983963,0.8947936131747262,0.42257692260127006,0.5747170899264783,0.18456362007904015
LN-tuning,554,0.6122075518949301,0.5970903202139396,0.6539879958483853,0.6686599562147917,0.2948625858913577,0.5436578419036562,0.8819192432155923,0.474051220929873,0.6714894015001144,0.19487255007449034
LoRA,554,0.6916525683120931,0.6435324738538998,0.6917200028321377,0.7143819919734338,0.29239544981061155,0.5486648198497381,0.8880766401951383,0.3957846228999326,0.5866907513557299,0.18607840512509724
LoRA-fusion,554,0.6736073391829138,0.6380704953386366,0.6872825622888107,0.6890606441282919,0.32688044019539336,0.7123356133880477,0.8855635128507264,0.4172971970245052,0.6346618249948986,0.1998882537246551
