dataset,fold,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,fusion4,fusion24
oral_diseases,0,0.48758522179574815,0.5153284580916161,0.5507915330283751,0.5909747416326363,0.5788994631099894,0.5740650431439905,0.5386672537988327,0.5926658867448341,0.6145537211326685,0.6384743180795812,0.6184764066343014,0.6807153372942846,0.6762351683404315,0.6489000035052667,0.6499683795736427,0.6351428542218016,0.6511379702169177,0.6306251497040971,0.6100569021621653,0.6203952480268269,0.6483296674086148,0.6527710593500069,0.6627929088455404,0.6901489592279066,0.6634644595170912,0.6778473719263192
oral_diseases,1,0.49060340244550776,0.5316121743753323,0.5968690666059088,0.6229930887825625,0.564127173995595,0.6344136857294751,0.6275594288752184,0.6185197843092579,0.680385623148781,0.6198669021037441,0.6397081719450141,0.6716108452950558,0.6766613503455609,0.645333029543556,0.6975848712690818,0.6523467760309866,0.6683308650413914,0.665198032961191,0.658977937267411,0.705277398040556,0.7335602263233844,0.733977937267411,0.7583618136249716,0.7713488266119846,0.7586086428191693,0.6867528670160249
oral_diseases,2,0.49799308878256243,0.572533606744133,0.5571447558289664,0.6235437077542342,0.6804254955570744,0.7276268322320953,0.7083599149388623,0.7219421660211134,0.681574200653148,0.6831406166932482,0.6771217817270448,0.7034204830257461,0.7412992709045341,0.7410524417103365,0.7331159337738286,0.6963193969772918,0.6901866408445356,0.7354940381256171,0.7235892762208552,0.7121924128503077,0.7071419077998026,0.7320336826915774,0.7345921622237412,0.7490791372370321,0.7550077846130477,0.7435207336523126
oral_diseases,3,0.4049395049395049,0.5033522033522034,0.5394938394938394,0.6231879231879233,0.6382395382395382,0.6279720279720279,0.6714507714507715,0.7051171051171051,0.6602175602175603,0.6890775890775892,0.6740925740925742,0.6850815850815851,0.7021756021756022,0.6931845931845932,0.6832500832500833,0.7165834165834166,0.7151626151626151,0.7405594405594406,0.7484959484959485,0.7149961149961149,0.757897657897658,0.7898101898101898,0.7593628593628594,0.7514263514263515,0.775935175935176,0.727983127983128
oral_diseases,4,0.4386358524516419,0.4873481781376518,0.5267102049996787,0.6072031039136302,0.5949778291883555,0.6388655934708566,0.645336899942163,0.6442436218752008,0.6031513077565709,0.6565243236295869,0.6609102885418675,0.6702565709144656,0.6144054045369833,0.6777753679069469,0.6802535184114131,0.6923358074673863,0.6637852644431591,0.6633675534991326,0.6952356853672643,0.705135434740698,0.7228913630229419,0.7457851359167148,0.7771134567187198,0.771756313861577,0.7291184692500481,0.6696958743011374
oral_diseases,5,0.5308824216718954,0.5374936467041731,0.5473698815804079,0.5954022585601534,0.6172929409771515,0.6259465680518311,0.647137803716751,0.6642181648760597,0.7021842923158712,0.7544570195885986,0.7954408895198369,0.7266416332205806,0.7145802297118086,0.7013004539320329,0.7001557652873441,0.7225416396469029,0.6851083127398916,0.7100000876316666,0.7120506686296161,0.7193989490042121,0.7323859619912252,0.7518095208884681,0.7771953193005824,0.756682498787762,0.7793320714373345,0.7799202989992464
oral_diseases,6,0.38616617300827827,0.48690001518948883,0.5628920786815523,0.5760955418850155,0.5391034404192299,0.6226627173995595,0.6450624667729931,0.6502904989747096,0.6443172324751273,0.6576773372826005,0.6775186071238704,0.6735503531556163,0.6938093339409128,0.694891585023164,0.7207963089542037,0.6428201184780132,0.7128598010176957,0.6886325662641452,0.7257566264145211,0.7380790992633097,0.7398828510670616,0.7146635528214477,0.7341108452950558,0.7286426293005241,0.7685719981772614,0.7191188197767145
oral_diseases,7,0.4011164274322168,0.561900015189489,0.5866417938786359,0.5460507328928382,0.5994066605908711,0.5998243715348979,0.6029116351484772,0.6571684894053315,0.6617110959216221,0.6807169438748385,0.6858576365155313,0.7066909698488646,0.7056989063568011,0.7100848712690818,0.6870205817574239,0.6795017847649427,0.6618012835118099,0.6732009949115213,0.7095769727348674,0.6987544619123567,0.6906404268246373,0.7116512873091819,0.7195004556846661,0.7354608111187059,0.7120689982532087,0.6860949722791828
oral_diseases,8,0.4673770673770673,0.5924963924963925,0.5524808524808524,0.6970584970584971,0.7285603285603287,0.7198135198135198,0.7178155178155178,0.6983571983571984,0.7093462093462094,0.7346209346209346,0.7584304584304584,0.7030747030747031,0.7127650127650129,0.7302253302253303,0.7471528471528471,0.7312798312798313,0.7473193473193473,0.7487845487845488,0.7712953712953713,0.7618936618936619,0.7604284604284605,0.7714174714174714,0.8049173049173051,0.8063825063825065,0.7872904872904873,0.7855810855810856
oral_diseases,9,0.35252634792108467,0.5088683246577983,0.6100475547843969,0.6484769616348564,0.563348274532485,0.6466703618019407,0.616059379217274,0.6551257952573742,0.6803450935029883,0.609038622196517,0.64830345093503,0.6754859906175695,0.630543506201401,0.639294550478761,0.6295514427093375,0.6485990617569566,0.66209112524902,0.6758024869866975,0.6980247092089199,0.6933182314761261,0.6790325171904119,0.6943102949681897,0.6863946725788831,0.6994441231283337,0.6658818520660627,0.6962944219523167
