dataset,fold,L7,L8,L9,L10,L11,L12,L13,L14,L23,mid_band_mean,mid_band_max
aptos2019,0,0.6300637259347057,0.6577619968037828,0.6729979261061941,0.6622341490529668,0.656612677165567,0.6338996146897926,0.640336020154838,0.6477360621337803,0.6674130687586248,0.6502052715052034,0.6729979261061941
aptos2019,1,0.6413565913983774,0.6363769974852655,0.6549518944160946,0.6521573669253373,0.6465718760217564,0.6448025747778787,0.6575416578207319,0.6566345000987003,0.6252018929112689,0.6487991823680177,0.6575416578207319
aptos2019,2,0.6143253889600196,0.6348908577106146,0.6629749309382627,0.6359500750574509,0.6751334766382889,0.6650280662840407,0.6464938221944185,0.6628805882270833,0.6545093970913494,0.6497096507512723,0.6751334766382889
aptos2019,3,0.6363781525081117,0.6400274000936473,0.6702089452239224,0.6785529672120122,0.688339066800497,0.6534051046680278,0.6448879252039494,0.6751100483083206,0.6686084437411729,0.6608637012523111,0.688339066800497
aptos2019,4,0.6007459058429201,0.6159452797743551,0.6273045825599901,0.6382536452678467,0.6461343642796707,0.6243005564744547,0.6274948641062039,0.6391721355963903,0.6329497681433189,0.627418916737729,0.6461343642796707
aptos2019,5,0.6149566353165113,0.6127151069563389,0.6393620561443464,0.6547989952775153,0.6441829881360845,0.6452494259130721,0.6221053213987153,0.6434750703095226,0.626957343739634,0.6346056999315133,0.6547989952775153
aptos2019,6,0.6573406325675447,0.6691365769045474,0.6535559920580344,0.6742230382661389,0.657213135862462,0.6818494910777178,0.6680295611534637,0.6624748361098425,0.6696899599690341,0.665477907999969,0.6818494910777178
aptos2019,7,0.6132503619634471,0.6337974831961404,0.6090803387546427,0.6397697823651155,0.6235969167439659,0.6355719136668008,0.63721231678178,0.6506825545673378,0.6460527127907286,0.6303702085049038,0.6506825545673378
aptos2019,8,0.5995080545590898,0.6130798121469984,0.6169762861598629,0.62287955531474,0.6100104255624232,0.6300831862427243,0.6514639552929145,0.6377173005203898,0.6126658769666892,0.6227148219748928,0.6514639552929145
aptos2019,9,0.5808279417626449,0.5932988965159065,0.6073766788394199,0.6141973494482318,0.6267655465066768,0.6564017524427348,0.6363154041614658,0.6241960685245941,0.5869757394157176,0.6174224547752093,0.6564017524427348
aptos2019,10,0.5713192486205303,0.6302837572825835,0.6555872167190069,0.6309256352568714,0.6227048969174891,0.6359616911078012,0.6468289792788595,0.6488796938563125,0.6422441953667833,0.6303113898799318,0.6555872167190069
aptos2019,11,0.5730789873723814,0.5892832081920302,0.6183660041561821,0.6135344627692625,0.6047554353083251,0.6188427533956432,0.6092617846152285,0.6181134978893559,0.6181556255898712,0.6056545167123011,0.6188427533956432
aptos2019,12,0.6311333421312764,0.6337980897466319,0.6089818986553105,0.6417794503738914,0.5920942043973642,0.6082716990900475,0.6179311260647944,0.6347794503738914,0.6210934557262553,0.6210961576041509,0.6417794503738914
aptos2019,13,0.6538790984984704,0.6205235545889098,0.6660918657518498,0.6376869920298249,0.6777915788458537,0.6369403372573006,0.6562838275620096,0.6447638754769606,0.6457669399527702,0.6492451412513974,0.6777915788458537
aptos2019,14,0.6584276216798186,0.6874745964477451,0.6863368440707458,0.6822843214113383,0.6744590096108004,0.6747361385033053,0.6631462410627026,0.6530690922952007,0.6614431102246487,0.6724917331352072,0.6874745964477451
