cls,mean,ci_lo,ci_hi,crosses_zero
CaS,-0.0004423507647858213,-0.0017836420387929396,0.0005129116305871454,True
CoS,-0.0002929784187417059,-0.001400953697786016,0.0005646908818107367,True
Gum,-0.00028677590972168467,-0.0014401520088643898,0.0006043896461143134,True
MC,-0.000650600370069631,-0.0019301027806424434,0.00040986474079707485,True
OC,-0.001249165338009972,-0.0034134172605810235,0.0005130562360439878,True
OLP,-0.0003759927758360519,-0.0015648135084896687,0.0005407083875819157,True
OT,-0.0010444800244720385,-0.0037183317108966094,0.0002528670403252537,True
