dataset,fold,wce,selected_lr,epochs_run,grid_edge_selected,e0_bacc,probe_bacc,train_ce_best,probe_train_ce,scaler_fitted_on
aptos2019,0,False,1e-05,0,True,0.6768250100144693,0.6439419180445987,,0.05089869350194931,train fold only (nested LR initialization npz)
aptos2019,1,False,1e-05,0,True,0.6955674518470979,0.62471197821499,,0.047787684947252274,train fold only (nested LR initialization npz)
aptos2019,2,False,1e-05,0,True,0.6828365284570863,0.6388415500055875,,0.04462401196360588,train fold only (nested LR initialization npz)
aptos2019,3,False,1e-05,0,True,0.6963652334479491,0.6557281522814316,,0.04863600432872772,train fold only (nested LR initialization npz)
aptos2019,4,False,1e-05,0,True,0.6620389012440555,0.6114875385144892,,0.04333766922354698,train fold only (nested LR initialization npz)
aptos2019,5,False,1e-05,0,True,0.6972595765816105,0.6889489042031415,,0.04609076678752899,train fold only (nested LR initialization npz)
aptos2019,6,False,1e-05,0,True,0.6922911622402285,0.6107207399227773,,0.0483388677239418,train fold only (nested LR initialization npz)
aptos2019,7,False,1e-05,0,True,0.6909150591357593,0.6324513469054415,,0.04727782681584358,train fold only (nested LR initialization npz)
aptos2019,8,False,1e-05,0,True,0.6777761514758115,0.6304214218308575,,0.046610333025455475,train fold only (nested LR initialization npz)
aptos2019,9,False,1e-05,0,True,0.6825152372208718,0.6149468411668235,,0.04573095589876175,train fold only (nested LR initialization npz)
aptos2019,10,False,1e-05,0,True,0.6250047401422949,0.6287832997981202,,0.04688518866896629,train fold only (nested LR initialization npz)
aptos2019,11,False,1e-05,0,True,0.6717448273183942,0.6168626751294111,,0.04889003559947014,train fold only (nested LR initialization npz)
aptos2019,12,False,1e-05,0,True,0.6853821353065539,0.6065543222926943,,0.04858596250414848,train fold only (nested LR initialization npz)
aptos2019,13,False,1e-05,0,True,0.7149998789653068,0.624794808596359,,0.04570164903998375,train fold only (nested LR initialization npz)
aptos2019,14,False,1e-05,0,True,0.7006955007487478,0.6622773848377486,,0.04612100124359131,train fold only (nested LR initialization npz)
aptos2019,0,True,1e-05,16,True,0.689857243821351,0.6457292139936393,0.5740748257624013,0.06407641619443893,train fold only (nested LR initialization npz)
aptos2019,1,True,1e-05,17,True,0.7018640099381024,0.6341539143592956,0.5654694422091512,0.06003537029027939,train fold only (nested LR initialization npz)
aptos2019,2,True,1e-05,0,True,0.6828365284570863,0.6336293875149582,,0.057350706309080124,train fold only (nested LR initialization npz)
aptos2019,3,True,0.0001,7,True,0.6783965409127223,0.6697447836963228,0.42428207693860054,0.06358441710472107,train fold only (nested LR initialization npz)
aptos2019,4,True,1e-05,13,True,0.6609252108726421,0.6170784309200688,0.5616446687546843,0.05668286234140396,train fold only (nested LR initialization npz)
