mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,n_folds,family,metric,seed,arm,base,mean_arm,mean_base,improved,holm_p,sig_holm,sig_improve
-0.04087329508268351,0.02023473379368847,0.011386720761723078,0,-0.06529538219145446,-0.016451207973912557,0.002959167355330804,0.9559344712412539,False,0.03430638451224382,15,F3,mcc,0,B1,B0,0.6969277585549123,0.7378010536375956,False,0.005918334710661608,True,False
-0.048419955333530565,0.019191401450956904,0.010799604856493613,0,-0.07158280406450107,-0.025257106602560066,0.0005152224475360314,0.9901370917394263,False,0.032537497365580516,15,F3,mcc,0,B4,B0,0.689381098304065,0.7378010536375956,False,0.0015456673426080944,True,False
-0.032917300698905104,0.01720289043161635,0.009680607199311542,0,-0.05368013815094127,-0.01215446324686894,0.0043100239035679146,0.8983059186696711,False,0.02916613481977773,15,F3,mcc,0,B1d,B0d,0.679122420668685,0.7120397213675902,False,0.005918334710661608,True,False
-0.03933539060062636,0.027268767687917913,0.015344992740920996,2,-0.07224712675753558,-0.006423654443717126,0.02252397481728567,0.8858738353801414,False,0.04623203047862961,15,F3,macro_mae_true,0,B1,B0,0.4270712530110482,0.4664066436116746,True,0.04504794963457134,True,True
-0.04989664028047587,0.03097308000030508,0.017429525719977135,1,-0.08727925502138853,-0.012514025539563212,0.012530348596439644,0.9458346963241663,False,0.05251239788241684,15,F3,macro_mae_true,0,B4,B0,0.4165100033311988,0.4664066436116746,True,0.03759104578931893,True,True
-0.039765280429448886,0.03751889138664808,0.021113059547263953,3,-0.085048289487618,0.005517728628720228,0.0805817742266977,0.8174711426713684,False,0.06361030135147812,15,F3,macro_mae_true,0,B1d,B0d,0.4461427810992035,0.48590806152865235,True,0.0805817742266977,False,False
0.0483977231737912,0.021650343300546923,0.012183328729319152,15,0.02226708190063163,0.07452836444695077,0.001389130610964705,0.982388204632703,False,0.036706438031930945,15,F3,mae_plain,0,B1,B0,0.2798686880330322,0.23147096485924107,False,0.00277826122192941,True,False
0.032593553494760626,0.018815616469863464,0.01058813883525566,13,0.009884254271088046,0.0553028527184332,0.008177166287655717,0.87296836243025,False,0.03190038376741007,15,F3,mae_plain,0,B4,B0,0.2640645183540017,0.23147096485924107,False,0.008177166287655717,True,False
0.038472505488130276,0.014885590176618228,0.008376589504106498,15,0.020506507829578004,0.05643850314668255,0.00041810678744066396,0.9776709005448997,False,0.025237336230735617,15,F3,mae_plain,0,B1d,B0d,0.2918830244937799,0.25341051900564965,False,0.0012543203623219918,True,False
-0.049393557678361046,0.024670850238722085,0.013883062929656178,0,-0.0791697662374006,-0.019617349119321496,0.0031515510709359293,0.9736864603082322,False,0.041827467717790154,15,F3,mcc,1,B1,B0,0.6911097448752487,0.7405033025536097,False,0.0063031021418718585,True,False
-0.04993434231626221,0.018374288403411675,0.01033978965961367,0,-0.0721109855340627,-0.027757699098461715,0.00026742084126321505,0.9941219111680211,False,0.03115214707212611,15,F3,mcc,1,B4,B0,0.6905689602373476,0.7405033025536097,False,0.0008022625237896451,True,False
-0.0358340537709819,0.021031463815660158,0.01183506578939539,2,-0.06121774532669817,-0.01045036221526563,0.009039513880973463,0.898870669608033,False,0.03565717700424758,15,F3,mcc,1,B1d,B0d,0.6783469872289939,0.7141810409999761,False,0.009039513880973463,True,False
-0.02942344591530595,0.03657710408985017,0.020583086231335243,3,-0.07356977526051997,0.014722883429908074,0.17479608834305582,0.6729483359840278,False,0.06201357576753328,15,F3,macro_mae_true,1,B1,B0,0.4325091153565132,0.4619325612718191,True,0.34959217668611164,False,False
-0.04467963936281816,0.0243846125674617,0.013721987994479887,0,-0.07411037654513451,-0.015248902180501803,0.005743025481857393,0.9531602056158766,False,0.041342174473398136,15,F3,macro_mae_true,1,B4,B0,0.41725292190900104,0.4619325612718191,True,0.01722907644557218,True,True
-0.03559556877710048,0.051909687433200395,0.029211212841087436,4,-0.09824738921657283,0.027056251662371862,0.24314832372258546,0.6991036958796644,False,0.08800875342126979,15,F3,macro_mae_true,1,B1d,B0d,0.4501307208950368,0.4857262896721374,True,0.34959217668611164,False,False
0.05422200146153807,0.02356183042168712,0.013258982617824587,15,0.025784312047505965,0.08265969087557018,0.001104655439080704,0.989117383473704,False,0.03994721267402146,15,F3,mae_plain,1,B1,B0,0.2840333695914872,0.22981136812994915,False,0.003313966317242112,True,False
0.034433315091099856,0.016514596673050372,0.009293282665629156,14,0.014501206142809305,0.0543654240393904,0.002353050280597523,0.9286449586942318,False,0.027999187402554627,15,F3,mae_plain,1,B4,B0,0.26424468322104905,0.22981136812994915,False,0.004706100561195046,True,False
0.045888503325485705,0.024843016310764743,0.013979946190240707,15,0.015904500838862475,0.07587250581210894,0.0054492629606920275,0.9573731589392377,False,0.042119361622977115,15,F3,mae_plain,1,B1d,B0d,0.29428297960289224,0.24839447627740652,False,0.0054492629606920275,True,False
-0.048305258237758775,0.015669089749398936,0.00881748934213481,0,-0.0672168919996189,-0.02939362447589865,8.132124339371596e-05,0.9968537395048314,False,0.026565697546631836,15,F3,mcc,2,B1,B0,0.6938364243526635,0.7421416825904225,False,0.0002439637301811479,True,False
-0.05465387667951126,0.019475855933931346,0.010959676335568892,0,-0.07816004458791759,-0.031147708771104926,0.00019933224605124257,0.9965373738094828,False,0.03301976735581861,15,F3,mcc,2,B4,B0,0.687487805910911,0.7421416825904225,False,0.00039866449210248513,True,False
-0.03578813815077872,0.018356654428871643,0.010329866467835909,1,-0.05794349823895263,-0.013632778062604812,0.0037934505378742246,0.9256555247202207,False,0.031122250068428524,15,F3,mcc,2,B1d,B0d,0.6785942177004803,0.7143823558512594,False,0.0037934505378742246,True,False
-0.03327150822337783,0.033087767243850395,0.018619526704726393,2,-0.07320642123498873,0.006663404788233074,0.09561477671178752,0.7561516603914173,False,0.056097682197984715,15,F3,macro_mae_true,2,B1,B0,0.43021733468458384,0.46348884290796166,True,0.1342353669606724,False,False
-0.04666544190696615,0.028502848104334937,0.01603944858316364,1,-0.08106663770966355,-0.012264246104268753,0.011427377959094707,0.9406841512578904,False,0.04832431583885698,15,F3,macro_mae_true,2,B4,B0,0.4168234010009956,0.46348884290796166,True,0.03428213387728412,True,True
-0.04020691311019312,0.03599801085890092,0.0202572122671381,1,-0.0836543123150584,0.003240486094672153,0.0671176834803362,0.8322783212237352,False,0.06103176917437813,15,F3,macro_mae_true,2,B1d,B0d,0.4510534619904249,0.49126037510061804,True,0.1342353669606724,False,False
