seed,family,frontier_base,axis,recall_level,n_folds_valid,bacc_mean,bacc_ci_lo,bacc_ci_hi
0,panderm,B0,tau,0.0,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.01,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.02,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.03,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.04,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.05,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.06,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.07,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.08,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.09,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.1,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.11,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.12,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.13,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.14,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.15,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.16,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.17,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.18,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.19,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.2,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.21,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.22,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.23,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.24,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.25,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.26,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.27,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.28,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.29,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.3,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.31,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.32,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.33,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.34,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.35,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.36,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.37,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.38,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.39,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.4,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.41,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.42,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.43,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.44,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.45,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.46,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.47,15,0.7000928810976046,0.6795885979711803,0.7205971642240289
0,panderm,B0,tau,0.48,15,0.6996316626255207,0.6783257185054801,0.7209376067455613
0,panderm,B0,tau,0.49,15,0.6996316626255207,0.6783257185054801,0.7209376067455613
