seed,arm,family,frontier_base,axis,primary,main_contrast,target_class,target_idx,recall_mean,recall_ci_lo,recall_ci_hi,bacc_mean,bacc_ci_lo,bacc_ci_hi,frontier_mean,frontier_ci_lo,frontier_ci_hi,n_folds_total,n_folds_unreachable,comparable,gap_n_folds,gap_mean,gap_sd,gap_n_above,gap_ci_lo,gap_ci_hi,gap_ttest_p_nb,gap_se_nb,gap_mde_post,gap_tost_p,gap_equivalent,gap_zero_var,gap_noise_flag,above_band,mde_floor,exploratory,ps7_denominator,ps7_above
0,B0,panderm,B0,tau,False,False,severe,3,0.3223253289946589,0.24703856991532053,0.3976120880739972,0.6472113331056695,0.6242276055822694,0.6701950606290695,0.7000928810976046,0.6795885979711803,0.7205971642240289,15,0,True,15,-0.05288154799193508,0.020586726969739514,0,-0.07772846935327687,-0.02803462663059328,0.0004411211810083208,0.01158479838639514,0.034903160994030784,0.9934255435373978,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B0,panderm,B0,offset,False,False,severe,3,0.3223253289946589,0.24703856991532053,0.3976120880739972,0.6472113331056695,0.6242276055822694,0.6701950606290695,0.676364512092896,0.6584597355081019,0.6942692886776902,15,0,True,15,-0.029153178987226653,0.011889059746002127,0,-0.04350254753927613,-0.014803810435177173,0.0006564270267270749,0.006690347638247401,0.02015695680971153,0.9035831820897745,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B0,panderm,B0,union,True,False,severe,3,0.3223253289946589,0.24703856991532053,0.3976120880739972,0.6472113331056695,0.6242276055822694,0.6701950606290695,0.7000928810976046,0.6795885979711803,0.7205971642240289,15,0,True,15,-0.05288154799193508,0.020586726969739514,0,-0.07772846935327687,-0.02803462663059328,0.0004411211810083208,0.01158479838639514,0.034903160994030784,0.9934255435373978,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B1,panderm,B0,tau,False,True,severe,3,0.5767393897994119,0.4417857544960405,0.7116930251027832,0.6862043822461245,0.6642343831383408,0.7081743813539081,0.6998803917544756,0.679539190571409,0.7202215929375422,15,0,True,15,-0.013676009508351246,0.015719010165658246,4,-0.03264789416191182,0.005295875145209329,0.14438555264120997,0.008845581129555856,0.02665033364872562,0.24320140220827885,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B1,panderm,B0,offset,False,True,severe,3,0.5767393897994119,0.4417857544960405,0.7116930251027832,0.6862043822461245,0.6642343831383408,0.7081743813539081,0.6727363754149993,0.6555473744771552,0.6899253763528435,15,0,True,15,0.013468006831125057,0.01488874991547226,13,-0.0045018044391268285,0.03143781810137694,0.1302622476801498,0.008378367588482486,0.025242693317079817,0.22429542451302953,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B1,panderm,B0,union,True,True,severe,3,0.5767393897994119,0.4417857544960405,0.7116930251027832,0.6862043822461245,0.6642343831383408,0.7081743813539081,0.6998803917544756,0.679539190571409,0.7202215929375422,15,0,True,15,-0.013676009508351246,0.015719010165658246,4,-0.03264789416191182,0.005295875145209329,0.14438555264120997,0.008845581129555856,0.02665033364872562,0.24320140220827885,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B4,panderm,B0,tau,False,True,severe,3,0.6508810749707585,0.5377253999323716,0.7640367500091455,0.6782841587593647,0.6513686704448224,0.7051996470739069,0.69808487815533,0.6761964007072399,0.7199733556034202,15,0,True,15,-0.019800719395965602,0.019228248282509665,3,-0.04300804000084553,0.003406601208914322,0.08862760345052466,0.010820339726846906,0.03259996824284509,0.4927829586787709,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B4,panderm,B0,offset,False,True,severe,3,0.6508810749707585,0.5377253999323716,0.7640367500091455,0.6782841587593647,0.6513686704448224,0.7051996470739069,0.6720931675115646,0.6555826429650731,0.688603692058056,15,0,True,15,0.006190991247800026,0.018508347244164294,11,-0.016147452798217072,0.028529435293817126,0.5617168683687686,0.010415228783293493,0.03137943319236949,0.10305864692856953,False,False,True,False,0.019,탐색적/exploratory,15,0
0,B4,panderm,B0,union,True,True,severe,3,0.6508810749707585,0.5377253999323716,0.7640367500091455,0.6782841587593647,0.6513686704448224,0.7051996470739069,0.69808487815533,0.6761964007072399,0.7199733556034202,15,0,True,15,-0.019800719395965602,0.019228248282509665,3,-0.04300804000084553,0.003406601208914322,0.08862760345052466,0.010820339726846906,0.03259996824284509,0.4927829586787709,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B0_tau,panderm,B0,tau,False,False,severe,3,0.6057332430806913,0.4934331452402476,0.718033340921135,0.6878985812350132,0.6685211838724977,0.7072759785975288,0.6985540177261228,0.6780871381262008,0.7190208973260448,15,0,True,15,-0.01065543649110959,0.009630555487652267,0,-0.022278928424502745,0.0009680554422835663,0.06943091640589386,0.0054194162985421145,0.016327842164592852,0.053328667229769734,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B0_tau,panderm,B0,offset,False,False,severe,3,0.6057332430806913,0.4934331452402476,0.718033340921135,0.6878985812350132,0.6685211838724977,0.7072759785975288,0.6730312866531108,0.6565789261955264,0.6894836471106953,15,0,True,15,0.014867294581902436,0.016599664077732623,13,-0.005167485525220707,0.03490207468902558,0.13379756926701436,0.009341152768241696,0.02814341243285368,0.2956694915210536,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B0_tau,panderm,B0,union,True,False,severe,3,0.6057332430806913,0.4934331452402476,0.718033340921135,0.6878985812350132,0.6685211838724977,0.7072759785975288,0.6985540177261228,0.6780871381262008,0.7190208973260448,15,0,True,15,-0.01065543649110959,0.009630555487652267,0,-0.022278928424502745,0.0009680554422835663,0.06943091640589386,0.0054194162985421145,0.016327842164592852,0.053328667229769734,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B0d,dinov2,B0d,tau,False,False,severe,3,0.3175637465201033,0.21209286333225696,0.4230346297079496,0.6309157829886518,0.6046926979488356,0.657138868028468,0.6755501673628669,0.6550633200831406,0.6960370146425932,15,0,True,15,-0.044634384374215165,0.023305196240744386,0,-0.07276233201521606,-0.016506436733214263,0.0042836458828842934,0.013114566497202338,0.039512109796950134,0.9593441511443319,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B0d,dinov2,B0d,offset,False,False,severe,3,0.3175637465201033,0.21209286333225696,0.4230346297079496,0.6309157829886518,0.6046926979488356,0.657138868028468,0.6583455718654272,0.6427171803821812,0.6739739633486732,15,0,True,15,-0.027429788876775385,0.018394664105102296,0,-0.04963102432132145,-0.005228553432229315,0.01903285395338464,0.010351255707442164,0.031186692456514772,0.7576466484805223,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B0d,dinov2,B0d,union,True,False,severe,3,0.3175637465201033,0.21209286333225696,0.4230346297079496,0.6309157829886518,0.6046926979488356,0.657138868028468,0.6756825932858426,0.6553283683086852,0.6960368182629999,15,0,True,15,-0.044766810297190845,0.023103737020834816,0,-0.07265160897128856,-0.016882011623093142,0.003957145906184209,0.013001199061516065,0.03917055168542657,0.961232579123242,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B1d,dinov2,B0d,tau,False,True,severe,3,0.5872901054425073,0.4860742159688581,0.6885059949161564,0.6720782643819313,0.6514997849059455,0.6926567438579171,0.6745143521745197,0.6534806425940518,0.6955480617549876,15,0,True,15,-0.002436087792588437,0.012872480230730716,6,-0.017972384771147914,0.01310020918597104,0.7416306251941251,0.007243749257716969,0.021824268158123706,0.01472054016696813,True,False,True,False,0.019,탐색적/exploratory,15,0
0,B1d,dinov2,B0d,offset,False,True,severe,3,0.5872901054425073,0.4860742159688581,0.6885059949161564,0.6720782643819313,0.6514997849059455,0.6926567438579171,0.6535643487568953,0.6354095509020582,0.6717191466117324,15,0,True,15,0.018513915625035942,0.017679563913833903,13,-0.0028242375896809953,0.03985206883975288,0.08388761645220713,0.009948846351448175,0.029974296861071618,0.4416950644506368,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B1d,dinov2,B0d,union,True,True,severe,3,0.5872901054425073,0.4860742159688581,0.6885059949161564,0.6720782643819313,0.6514997849059455,0.6926567438579171,0.6746467780974954,0.6537319825101012,0.6955615736848896,15,0,True,15,-0.002568513715564117,0.012764300011084521,6,-0.017974243780094344,0.012837216348966111,0.7259845933651599,0.007182872847598973,0.021640857185207477,0.014660932832388663,True,False,True,False,0.019,탐색적/exploratory,15,0
0,B0d_tau,dinov2,B0d,tau,False,False,severe,3,0.5569603630614317,0.43091030200284575,0.6830104241200177,0.6594128115726594,0.6355100470509283,0.6833155760943905,0.6732725537859066,0.6517158857064129,0.6948292218654002,15,0,True,15,-0.01385974221324732,0.01377759204688773,0,-0.030488453840931528,0.002768969414436887,0.09549269273154797,0.0077530841278367155,0.02335881337666981,0.22079396595554918,False,False,False,False,0.019,탐색적/exploratory,15,0
0,B0d_tau,dinov2,B0d,offset,False,False,severe,3,0.5569603630614317,0.43091030200284575,0.6830104241200177,0.6594128115726594,0.6355100470509283,0.6833155760943905,0.6532779454852873,0.6352261757095056,0.671329715261069,15,0,True,15,0.006134866087372023,0.019432397507533394,9,-0.01731885015619294,0.029588582330936985,0.5836531115314536,0.01093522091296819,0.0329460870444537,0.1127516769487587,False,False,True,False,0.019,탐색적/exploratory,15,0
0,B0d_tau,dinov2,B0d,union,True,False,severe,3,0.5569603630614317,0.43091030200284575,0.6830104241200177,0.6594128115726594,0.6355100470509283,0.6833155760943905,0.6742091085492938,0.6532795853759297,0.695138631722658,15,0,True,15,-0.014796296976634633,0.01328088245384338,0,-0.030825510480312138,0.00123291652704287,0.0677309132843829,0.007473570026325319,0.02251668170033341,0.24882541958067717,False,False,False,False,0.019,탐색적/exploratory,15,0
