seed,arm,fold,lr,wd,epoch,grid_edge_wd,grid_edge_epoch
4,B1d,3,0.01,30.0,100,False,False
4,B1d,4,0.01,30.0,290,False,False
4,B1d,5,0.01,30.0,290,False,False
4,B1d,6,0.01,30.0,380,False,False
4,B1d,7,0.01,30.0,240,False,False
4,B1d,8,0.01,10.0,30,False,False
4,B1d,9,0.01,30.0,210,False,False
4,B1d,10,0.01,30.0,450,False,False
4,B1d,11,0.01,30.0,310,False,False
4,B1d,12,0.01,30.0,290,False,False
4,B1d,13,0.01,30.0,250,False,False
4,B1d,14,0.01,10.0,440,False,False
