mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,n_folds,family,metric,seed,arm,base,mean_arm,mean_base,improved,holm_p,sig_holm,sig_improve,mde_floor,passes_gate,verdict_code
0.0389930491404549,0.020847994058270987,0.011731821589747792,14,0.013830794369747431,0.06415530391116236,0.00501990037708683,0.9361192569386458,False,0.03534611859806661,15,F1,bacc,0,B1,B0,0.6862043822461245,0.6472113331056695,True,0.01505970113126049,True,True,0.019,True,gate_passed
0.03107282565369523,0.024459851292810787,0.013764327190278215,13,0.001551279927853512,0.06059437137953695,0.04047795126298421,0.7827093705642274,False,0.041469735758283534,15,F1,bacc,0,B4,B0,0.6782841587593647,0.6472113331056695,True,0.04047795126298421,True,True,0.019,True,gate_passed
0.041162481393279646,0.026675255259961266,0.015011004641316612,14,0.008967078466324566,0.07335788432023473,0.015887833333461297,0.9097866244308627,False,0.04522577728183059,15,F1,bacc,0,B1d,B0d,0.6720782643819313,0.6309157829886518,True,0.031775666666922595,True,True,0.019,True,gate_passed
0.027844069639070743,0.02401340007788921,0.013513095057951886,13,-0.001138636753780481,0.05682677603192197,0.058437747314842185,0.7145911958493877,False,0.0407128131715463,15,F1,bacc,1,B1,B0,0.6810432140717382,0.6531991444326675,True,0.11953139115909092,False,False,0.019,False,undetectable
0.026627532309927943,0.020883247973581067,0.011751660076059805,12,0.00142272821787005,0.05183233640198584,0.03984379705303031,0.7091500098365122,False,0.03540588881231904,15,F1,bacc,1,B4,B0,0.6798266767425953,0.6531991444326675,True,0.11953139115909092,False,False,0.019,False,undetectable
0.04030097775019018,0.03599624722460403,0.020256219814681387,14,-0.0031442928558575445,0.08374624835623791,0.06654127139943292,0.8333745759480804,False,0.061028779072460064,15,F1,bacc,1,B1d,B0d,0.6681661844314526,0.6278652066812624,True,0.11953139115909092,False,False,0.019,False,undetectable
0.034140428853221653,0.0213064110918476,0.011989787264363313,14,0.008424892737659308,0.059855964968783995,0.012914484010194783,0.8710479375501322,False,0.036123328280249174,15,F1,bacc,2,B1,B0,0.6851312177591155,0.6509907889058938,True,0.02861170482410577,True,True,0.019,True,gate_passed
0.027483866706814204,0.018447350941569303,0.010380904246473376,15,0.005219041470437804,0.04974869194319061,0.019120712723368377,0.7585897142852411,False,0.03127601880441734,15,F1,bacc,2,B4,B0,0.6784746556127079,0.6509907889058938,True,0.02861170482410577,True,True,0.019,True,gate_passed
0.04655185364081869,0.027568002830454748,0.015513381761745383,15,0.013278958953653941,0.07982474832798343,0.009537234941368591,0.9454829954693473,False,0.0467393599035735,15,F1,bacc,2,B1d,B0d,0.6694502058396634,0.622898352198845,True,0.02861170482410577,True,True,0.019,True,gate_passed
0.03470737620599556,0.021474627463566355,0.012084447904421208,15,0.008788813209767345,0.06062593920222377,0.012302334779646268,0.8781480322216942,False,0.03640852578214259,15,F1,bacc,3,B1,B0,0.685400033497405,0.6506926572914095,True,0.024604669559292535,True,True,0.019,True,gate_passed
0.03153777458036979,0.02532062209627186,0.014248709978744277,13,0.0009773310979699842,0.0620982180627696,0.043982563568154824,0.784181508346954,False,0.042929104310473705,15,F1,bacc,3,B4,B0,0.6822304318717792,0.6506926572914095,True,0.043982563568154824,True,True,0.019,True,gate_passed
0.04203751658744577,0.020637190788098357,0.011613195963258823,15,0.017129688481277647,0.06694534469361389,0.0027868051998898,0.9607191298208863,False,0.03498871839123827,15,F1,bacc,3,B1d,B0d,0.6728878175348978,0.6308503009474519,True,0.0083604155996694,True,True,0.019,True,gate_passed
0.032914576570306824,0.011966646828410603,0.006734008328381002,15,0.01847156515127353,0.047357587989340116,0.00023969058268112156,0.9621173645766162,False,0.02028849954753191,15,F1,bacc,4,B1,B0,0.6810208664638101,0.6481062898935033,True,0.0007190717480433647,True,True,0.019,True,gate_passed
0.029152478632672636,0.01869847853448473,0.010522221636919281,13,0.006584557738496703,0.051720399526848565,0.015025577063668933,0.8004675128217998,False,0.03170178569871066,15,F1,bacc,4,B4,B0,0.677258768526176,0.6481062898935033,True,0.015025577063668933,True,True,0.019,True,gate_passed
0.035677828318470474,0.01836011859381745,0.010331815862343031,15,0.01351828719490819,0.05783736944203276,0.0038798777099976643,0.9242944517604653,False,0.03112812328503995,15,F1,bacc,4,B1d,B0d,0.6700416957519889,0.6343638674335185,True,0.007759755419995329,True,True,0.019,True,gate_passed
