seed,arm,fold,bacc,mcc,mae_plain,macro_mae_true,qwk,lr,wd,epoch,grid_edge_wd,grid_edge_epoch,per_class_recall
0,B0,0,0.639566365281949,0.7523156408922105,0.21232876712328766,0.47317682569840686,0.8927723005688103,0.01,10.0,280,False,False,"[0.9865591397849462, 0.5492957746478874, 0.8535353535353535, 0.2727272727272727, 0.5357142857142857]"
0,B0,1,0.6522023176870542,0.7473370853316087,0.21195652173913043,0.4360589356227428,0.9017945934110048,0.001,3.0,460,False,False,"[0.9838274932614556, 0.5857142857142857, 0.8155339805825242, 0.29411764705882354, 0.5818181818181818]"
0,B0,2,0.6504661342724759,0.7301780631620463,0.2483130904183536,0.4775122614107577,0.8764502484221834,0.01,1.0,60,False,False,"[0.9831460674157303, 0.6363636363636364, 0.8190954773869347, 0.3137254901960784, 0.5]"
0,B0,3,0.6799792710308172,0.7621829800225827,0.21074380165289255,0.4253895668156426,0.8955029385319069,0.01,10.0,420,False,False,"[0.9806094182825484, 0.6447368421052632, 0.8534031413612565, 0.3888888888888889, 0.532258064516129]"
0,B0,4,0.5922203146846642,0.7158767634792419,0.2551440329218107,0.5323689836539713,0.8752864029675005,0.01,10.0,730,False,False,"[0.9855072463768116, 0.4605263157894737, 0.8780487804878049, 0.23076923076923078, 0.40625]"
0,B0,5,0.6359818712361085,0.7452048184276648,0.23045822102425875,0.4760116719438754,0.887240647964253,0.01,10.0,720,False,False,"[0.9887005649717514, 0.5769230769230769, 0.8428571428571429, 0.17142857142857143, 0.6]"
0,B0,6,0.640884091817878,0.7241206667963511,0.2503382949932341,0.47456067846560207,0.8794167444263328,0.01,0.1,50,False,False,"[0.9824561403508771, 0.5714285714285714, 0.8110599078341014, 0.32432432432432434, 0.5151515151515151]"
0,B0,7,0.636563549927841,0.7181718905647224,0.24551724137931036,0.5006723218127054,0.872930013296265,0.01,0.1,180,False,False,"[0.9811320754716981, 0.5211267605633803, 0.7864583333333334, 0.3409090909090909, 0.5531914893617021]"
0,B0,8,0.649064887206438,0.716510855755939,0.2430939226519337,0.46743648487223355,0.8842232005117207,0.001,1.0,250,False,False,"[0.9667590027700831, 0.5753424657534246, 0.7806122448979592, 0.358974358974359, 0.5636363636363636]"
0,B0,9,0.65675295458404,0.7506192927534591,0.22404371584699453,0.4682594782454702,0.8872900929061387,0.01,10.0,300,False,False,"[0.9893899204244032, 0.6056338028169014, 0.842391304347826, 0.39473684210526316, 0.45161290322580644]"
