contrast,seeds_pass,n_seeds,delta_mean,delta_sd,delta_min,delta_max,sd_fold_mean,mde_mean,nature
B1-B0,4,5,0.03371990008180994,0.004004122372259318,0.027844069639070743,0.0389930491404549,0.01992181590399695,0.03377585707590732,분류력 개선 / 작동점 이동 / 판정 불가
B4-B0,4,5,0.029174895576695965,0.0021525842918578724,0.026627532309927943,0.03153777458036979,0.02156191016774355,0.03655650667684086,분류력 개선 / 판정 불가
B1d-B0d,4,5,0.04114613153804095,0.003893369077765806,0.035677828318470474,0.04655185364081869,0.02584736293938717,0.04382215158682847,작동점 이동 / 판정 불가
