seed,arm,fold,lr_match,wd_match,epoch_match,score_absdiff,inner_best_absdiff,inner_epoch_match,n_tied_match,n_inner_valid,n_cands,lr_mine,wd_mine,epoch_mine
1,B0,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,730
1,B0,4,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,50
1,B0,5,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,540
1,B0,6,True,True,True,0.0,0.0,True,True,3,16,0.01,0.1,50
1,B0,7,True,True,True,0.0,0.0,True,True,3,16,0.01,0.01,160
1,B0,8,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,460
1,B0,9,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,500
1,B0,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,670
1,B0,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,440
1,B0,12,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,140
1,B0,13,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,460
1,B0,14,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,720
1,B1,0,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,140
1,B1,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,260
1,B1,2,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,220
1,B1,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,700
1,B1,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,390
1,B1,5,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,40
1,B1,6,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,540
1,B1,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,170
1,B1,8,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,250
1,B1,9,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,650
1,B1,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,140
1,B1,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,600
1,B1,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,60
1,B1,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,320
1,B1,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,260
1,B4,0,True,True,True,0.0,0.0,True,True,3,16,0.001,0.1,130
1,B4,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,150
1,B4,2,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,100
1,B4,3,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,50
1,B4,4,True,True,True,0.0,0.0,True,True,3,16,0.01,0.01,50
1,B4,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,720
1,B4,6,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,290
1,B4,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,160
1,B4,8,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,50
1,B4,9,True,True,True,0.0,0.0,True,True,3,16,0.001,3.0,330
1,B4,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,210
1,B4,11,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,40
1,B4,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,50
1,B4,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,610
1,B4,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,720
1,B0d,0,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,560
1,B0d,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,580
1,B0d,2,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,330
1,B0d,3,True,True,True,0.0,0.0,True,True,3,16,0.001,0.01,330
1,B0d,4,True,True,True,0.0,0.0,True,True,3,16,0.001,0.1,230
1,B0d,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,740
1,B0d,6,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,680
1,B0d,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,530
1,B0d,8,True,True,True,0.0,0.0,True,True,3,16,0.001,3.0,380
1,B0d,9,True,True,True,0.0,0.0,True,True,3,16,0.01,0.01,60
1,B0d,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,480
1,B0d,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,640
1,B0d,12,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,570
1,B0d,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,610
1,B0d,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,630
1,B1d,0,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,660
1,B1d,1,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,300
1,B1d,2,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,160
1,B1d,3,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,220
1,B1d,4,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,270
1,B1d,5,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,380
1,B1d,6,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,200
1,B1d,7,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,240
1,B1d,8,True,True,True,0.0,0.0,True,True,3,16,0.001,10.0,30
1,B1d,9,True,True,True,0.0,0.0,True,True,3,16,0.001,10.0,80
1,B1d,10,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,40
1,B1d,11,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,250
1,B1d,12,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,640
1,B1d,13,True,True,True,0.0,0.0,True,True,3,16,0.001,10.0,180
1,B1d,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,270
2,B0,0,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,70
2,B0,1,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,580
2,B0,2,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,400
2,B0,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,570
2,B0,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,470
2,B0,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,380
2,B0,6,True,True,True,0.0,0.0,True,True,3,16,0.001,0.1,300
2,B0,7,True,True,True,0.0,0.0,True,True,3,16,0.01,0.1,180
2,B0,8,True,True,True,0.0,0.0,True,True,3,16,0.001,3.0,230
2,B0,9,True,True,True,0.0,0.0,True,True,3,16,0.001,0.0001,210
2,B0,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,610
2,B0,11,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,110
2,B0,12,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,700
2,B0,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,460
2,B0,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,580
2,B1,0,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,170
