mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,n_folds,family,metric,seed,arm,base,delta_tost,equivalent_verdict
-0.0016941989888889545,0.01356923745191415,0.007635836447853593,8,-0.018071439353356217,0.014683041375578309,0.8276152862553855,0.015512879615097983,True,0.023005564704217,15,F2,bacc,0,B1,B0_tau,0.02,④ equivalent
-0.009614422475648624,0.020095208919187736,0.011308205729034591,3,-0.033868111587507944,0.014639266636210698,0.4095102244827392,0.18697806096160835,False,0.03406983116578281,15,F2,bacc,0,B4,B0_tau,0.02,③ undetectable
0.012665452809272138,0.01857613107805274,0.010453372877330822,11,-0.009754802181858877,0.035085707800403154,0.24571431820312564,0.24720036321468986,False,0.03149435530070068,15,F2,bacc,0,B1d,B0d_tau,0.02,③ undetectable
-0.004109569130011666,0.020033088212688167,0.011273248454793,8,-0.02828828234543176,0.02006914408540843,0.720900941888597,0.09024639125898473,False,0.033964510440287955,15,F2,bacc,1,B1,B0_tau,0.02,③ undetectable
-0.005326106459154463,0.022769306078367406,0.012813004257730501,6,-0.03280726742335775,0.022155054505048823,0.6839455074748009,0.1356564672301742,False,0.03860355057624183,15,F2,bacc,1,B4,B0_tau,0.02,③ undetectable
0.004761397365179524,0.02466181503416288,0.013877978536039259,9,-0.025003906254114326,0.03452670098447337,0.7366279837885996,0.14535626694808168,False,0.04181214924585397,15,F2,bacc,1,B1d,B0d_tau,0.02,③ undetectable
-0.009151671991183045,0.02002897163458437,0.011270931926894009,6,-0.0333254167484032,0.015022072766037106,0.4303984405343827,0.1760635197986034,False,0.03395753110896868,15,F2,bacc,2,B1,B0_tau,0.02,③ undetectable
-0.015808234137590492,0.0180181828035597,0.010139397844799426,2,-0.03755507965860988,0.0059386113834289,0.14128892284197755,0.3427831457595724,False,0.03054839830231053,15,F2,bacc,2,B4,B0_tau,0.02,③ undetectable
0.0020086239489923124,0.02257794883841821,0.012705321523712268,10,-0.02524158052077017,0.029258828418754795,0.8766410914567694,0.08931174767929813,False,0.038279119569645324,15,F2,bacc,2,B1d,B0d_tau,0.02,③ undetectable
-0.0039812893135427576,0.015189584874690288,0.008547656876441812,6,-0.02231418999501674,0.014351611367931227,0.6485396976496876,0.040972976703085036,True,0.025752735104181457,15,F2,bacc,3,B1,B0_tau,0.02,④ equivalent
-0.007150890939168527,0.021333508033107202,0.012005035564971851,5,-0.03289913140688942,0.018597349528552368,0.5609107397027684,0.15129300640964394,False,0.036169268992661596,15,F2,bacc,3,B4,B0_tau,0.02,③ undetectable
0.0085698430976467,0.01870872398046373,0.010527987071425694,11,-0.014010443423708645,0.031150129619002046,0.42927013026920846,0.1479781888557526,False,0.03171915603888112,15,F2,bacc,3,B1d,B0d_tau,0.02,③ undetectable
-0.00832869397063368,0.018754186759159058,0.010553570406068682,5,-0.03096385128756383,0.014306463346296473,0.44316586733024965,0.14370383089212777,False,0.03179623457042095,15,F2,bacc,4,B1,B0_tau,0.02,③ undetectable
-0.012090791908267865,0.015892207252422266,0.008943044574532875,3,-0.03127171486117368,0.007090131044637947,0.1978212689201972,0.1957087051624805,False,0.026943975557510217,15,F2,bacc,4,B4,B0_tau,0.02,③ undetectable
0.0019054140198079346,0.014598622077746839,0.008215103534353327,8,-0.01571423068053238,0.019525058720148248,0.8199403594398444,0.02244050566633887,True,0.02475080460432498,15,F2,bacc,4,B1d,B0d_tau,0.02,④ equivalent
