arm,fold,mine,archive,diff,lr_match,wd_match,epoch_match
B0,0,0.6731676364088683,0.6731676364088683,0.0,True,True,True
B0,1,0.6516390816665477,0.6516390816665477,0.0,True,True,True
B0,2,0.6535712373249347,0.6535712373249347,0.0,True,True,True
B1,0,0.7450362019084965,0.7450362019084965,0.0,True,True,True
B1,1,0.7024199297225261,0.7024199297225261,0.0,True,True,True
B1,2,0.6920248444604049,0.6920248444604049,0.0,True,True,True
