epoch,train_loss,val_bacc
1,1.161226235513459,0.5512161887329673
2,0.7969353517051786,0.6717328607261494
3,0.7544479945965576,0.5956465905459194
4,0.7142596321791643,0.617511839391034
5,0.6570651498332154,0.6195876631447101
6,0.6232663082322688,0.6773103679815089
7,0.5841987244784832,0.6700325401667683
8,0.5619095264890348,0.6641598471128672
9,0.5104993353073951,0.6606511261544818
10,0.5026733990125649,0.6967180271878257
11,0.4440471591289679,0.6496554874407223
12,0.4725297507742653,0.6661183584002376
13,0.4302841964599793,0.6487908487237346
14,0.3857132394616201,0.6624245975252686
15,0.3917852589744143,0.6724879669174971
16,0.4400543906054736,0.7087799051557442
17,0.34313727011249284,0.6905956012667422
18,0.3102222527766571,0.6663661543527315
19,0.28675604736263266,0.6625024292138386
20,0.2695312347033905,0.688755855131694
21,0.24014116764647042,0.6462473569184978
22,0.2447638369980268,0.6439959841302123
23,0.2313833989588659,0.6537414735401312
24,0.20609155449673153,0.6745172078729126
25,0.2065247213874045,0.652951180065274
26,0.23057318678518185,0.6344864432112755
