method,bacc,auroc,aupr,acc,weighted_f1
baseline (frozen CLS + linear probe),0.628,0.8957,0.6791,0.8141,0.806
LoRA + multi-layer fusion,0.6736,0.8996,0.6891,0.7834,0.7894
