method,bacc,auroc,aupr,acc,weighted_f1
baseline (frozen CLS + linear probe),0.628,0.8957,0.6791,0.8141,0.806
LoRA + linear head (last CLS),0.6917,0.9051,0.7144,0.7834,0.7893
