epoch,train_loss,val_bacc
1,1.4029318428598345,0.5125196031907441
2,0.8700636545661837,0.6678163223800808
3,0.7119615376228466,0.6747300425152775
4,0.6947602943881066,0.638696101313551
5,0.6386003188090399,0.6560236432719655
6,0.6388229858712293,0.6959029734868661
7,0.5981477285909932,0.6904851648475809
8,0.5353206014551688,0.7006716897320925
9,0.5353357233281713,0.7055672738894215
10,0.506914709508419,0.6862208534691756
11,0.47205010983161627,0.6953613152942013
12,0.42635887698997976,0.670972976811903
13,0.44449474868451944,0.6846266758347295
14,0.38615787512608224,0.6873491385571923
15,0.3912889749997703,0.6951941272746642
16,0.35085411565999036,0.6562559439069505
17,0.33031539294315737,0.6763824889999387
18,0.33541728264535775,0.6853411713814399
19,0.2804180090664886,0.6365336329094717
