Dataset,W_F1,AUROC,BACC,ACC,AUPR
breast_cancer_binary_fold1,0.8873,0.9450,0.8635,0.8891,0.9695
breast_cancer_binary_fold1,0.8873,0.9450,0.8635,0.8891,0.9695
