method,bacc,aupr,acc,auroc,weighted_f1,trainable_pct,minority,src
Linear Eval (baseline),0.8107,0.7981,0.7778,0.9463,0.7584,0.0,{},anchor
LoRA (pure),0.8107,0.8609,0.7778,0.9655,0.7653,,"{""OLP"": 0.3}",pred_csv
LoRA (fusion),0.7948,0.8163,0.7778,0.9492,0.7777,,"{""OLP"": 0.3}",pred_csv
BitFit,0.7774,0.8467,0.7593,0.9553,0.758,0.0848,"{""OLP"": 0.4}",pred_csv
LN-tuning,0.8107,0.8418,0.7778,0.9598,0.763,0.036,"{""OLP"": 0.3}",pred_csv
Full FT,0.8345,0.8745,0.7963,0.96,0.7781,100.0,"{""OLP"": 0.3}",test.csv
