method,BACC,Macro_AUPR,AUROC,W_F1,ACC
Linear Eval (baseline),0.8107,0.7981,0.9463,0.7584,0.7778
"LoRA (pure, last CLS)",0.8107,0.8609,0.9655,0.7653,0.7778
"LoRA (fusion [11,15,19,23])",0.7948,0.8163,0.9492,0.7777,0.7778
