epoch,train_loss,val_bacc
1,1.3724811325781048,0.48612885002146744
2,0.9900324682181235,0.595478498632861
3,0.8170386325684376,0.5918796142957217
4,0.7666262803541031,0.5761903470628302
5,0.7458072544213792,0.6597401628945253
6,0.6947640501777641,0.6549922684822014
7,0.6735231172919157,0.6553681590594342
8,0.6474821641015296,0.6341962611090128
9,0.6401282579034614,0.6080325789050621
10,0.625625752169617,0.5855810905475335
11,0.5969454933885572,0.6624273414877442
12,0.5899173099163818,0.6036486307627247
13,0.5850737945424044,0.6278103179445462
14,0.5868057092347044,0.6529369114604014
15,0.569015590413801,0.6042799035416485
16,0.5564137923645831,0.6037459930077379
17,0.5467600458265224,0.6136347818227013
18,0.5477207410050369,0.6510977786816713
19,0.5390619896645262,0.6368729480810018
20,0.5537123652566152,0.5922302604181799
21,0.5100575167866737,0.5692500911963999
