dataset,standardize,pca,eps,tau_w,spearman,te_best_layer,gt_best_layer,v_min,v_max,rel_range
oral_diseases,False,0,0.0001,0.8599363718446198,0.8547826086956521,23,19,2175.956392661176,4616.710639327689,0.5286781947897754
oral_diseases,False,0,0.01,0.8599363718446198,0.8547826086956521,23,19,684.1995054769864,3052.984868928015,0.775891615959031
oral_diseases,False,0,0.1,0.8599363718446198,0.8547826086956521,23,19,211.23815393298767,2271.114320798368,0.9069892026136617
oral_diseases,False,0,1.0,0.8599363718446198,0.8547826086956521,23,19,28.778140510293582,1489.3770129549628,0.9806777328641606
oral_diseases,False,64,0.0001,0.8599363718446198,0.8547826086956521,23,19,90.24787776161793,138.58746221579304,0.34880200330752664
oral_diseases,False,64,0.01,0.8599363718446198,0.8547826086956521,23,19,55.71393183881665,104.31460047336111,0.4659047574740526
oral_diseases,False,64,0.1,0.8599363718446198,0.8547826086956521,23,19,33.067747465019465,87.17701394950888,0.6206827239555115
oral_diseases,False,64,1.0,0.8599363718446198,0.8547826086956521,23,19,5.31684316284926,69.9342062064608,0.9239736396356066
oral_diseases,True,0,0.0001,0.6684446012002209,0.45652173913043476,11,19,3336.494093417581,4084.9817047117904,0.1832291220376512
oral_diseases,True,0,0.01,0.6684446012002209,0.45652173913043476,11,19,1772.8401957130304,2521.2387848695644,0.296837647289823
oral_diseases,True,0,0.1,0.6684446012002209,0.45652173913043476,11,19,998.2400784339237,1739.3836968692613,0.42609553014054974
oral_diseases,True,0,1.0,0.6751613913887364,0.47043478260869553,11,19,353.7239326850581,959.1347426672114,0.6312051717557379
oral_diseases,True,64,0.0001,0.8262793129816229,0.8521739130434782,21,19,111.0430378670153,124.20180026234243,0.10594663175197726
oral_diseases,True,64,0.01,0.8262793129816229,0.8521739130434782,21,19,76.76999312065834,89.92790726082762,0.1463162497711174
oral_diseases,True,64,0.1,0.8608228053797028,0.8530434782608695,21,19,59.54019836405047,72.70314936819142,0.18105063011066386
oral_diseases,True,64,1.0,0.8379414322100344,0.8478260869565216,21,19,39.17056693440904,52.97730684656594,0.2606161153518813
aptos2019,False,0,0.0001,0.6668499516108471,0.4652173913043478,22,7,803.8203181671261,3530.119770991543,0.7722965875627078
aptos2019,False,0,0.01,0.6668499516108471,0.4652173913043478,22,7,113.16926339519341,2202.9675041684877,0.9486287186801196
aptos2019,False,0,0.1,0.6668499516108471,0.4652173913043478,22,7,32.887070284254264,1538.824410765349,0.9786284451597058
aptos2019,False,0,1.0,0.6668499516108471,0.4652173913043478,22,7,5.795178024496238,854.0876413718463,0.9932147735855434
aptos2019,False,64,0.0001,0.3259366630402428,0.29478260869565215,22,7,8.778482393136187,12.371160269802772,0.2904075121745691
aptos2019,False,64,0.01,0.3528038237943048,0.30347826086956514,22,7,8.77265198814439,12.371158096119075,0.29087867764807507
aptos2019,False,64,0.1,0.6037644624636469,0.39826086956521733,22,7,7.797379444284658,12.370942886014234,0.3697020901211801
aptos2019,False,64,1.0,0.6648436376584334,0.4591304347826086,22,7,1.398967007266151,12.349482351331005,0.886718571073041
aptos2019,True,0,0.0001,0.7038822176200713,0.5982608695652173,18,7,2043.0638983561967,3306.3881991991047,0.3820858969763195
aptos2019,True,0,0.01,0.7038822176200713,0.5982608695652173,18,7,684.1562232254237,1979.2304263503984,0.6543322019927846
aptos2019,True,0,0.1,0.7051296215122242,0.5965217391304348,18,7,238.51681452873504,1314.235938405946,0.818512941581832
aptos2019,True,0,1.0,0.701703176431881,0.5843478260869565,16,7,58.43914931754256,615.0993045435268,0.9049923339436842
aptos2019,True,64,0.0001,0.6279969262395241,0.5139130434782608,22,7,6.092219670439249,12.021425856102269,0.4932198772954014
aptos2019,True,64,0.01,0.6279969262395241,0.5139130434782608,22,7,6.092212204067664,12.021410535724044,0.49321985253195366
aptos2019,True,64,0.1,0.6279969262395241,0.5139130434782608,22,7,6.091473092793137,12.019893972304942,0.4932174021810006
aptos2019,True,64,1.0,0.6279969262395241,0.5139130434782608,22,7,6.018863328511344,11.871209796471248,0.4929865252401687
