dataset,best_layer,best_bacc,last_bacc,n_within_005,n_within_01,n_within_02,deep_mean,deep_std,deep_range,mid_mean,mid_std,mid_minus_last
aptos2019,7,0.686038,0.628128,1,1,2,0.632017,0.010190938413610403,0.033355000000000024,0.6417397499999999,0.021664081325722086,0.013611749999999923
oral_diseases,19,0.820465,0.810714,2,4,5,0.7952097499999999,0.01929032438652861,0.06349199999999999,0.7686932500000001,0.027703781997003574,-0.04202074999999994
