epoch,train_loss,val_bacc
1,1.7540576145200446,0.5547052154195011
2,1.2011159888588556,0.6356575963718821
3,0.9248244915858354,0.6968820861678005
4,0.8370354809973499,0.7167800453514739
5,0.7430207993429486,0.717517006802721
6,0.6702116269728925,0.7210884353741497
7,0.5889645574042702,0.699092970521542
8,0.5782172885714191,0.7002834467120181
9,0.5386717851356705,0.7016439909297052
10,0.5169847632693773,0.6990929705215418
11,0.4884935989975929,0.7288548752834466
12,0.4506597475213285,0.676700680272109
13,0.4366152702581764,0.7195011337868481
14,0.4063795631622324,0.7353741496598639
15,0.387604219341042,0.6752834467120181
16,0.3477794407765464,0.6937074829931973
17,0.3612067123303319,0.6528911564625851
18,0.3427796333124585,0.6752834467120181
19,0.3226667755181984,0.6503401360544219
20,0.304350138143959,0.6956916099773244
21,0.2977028473805968,0.6937074829931973
22,0.253806266002357,0.6574263038548753
23,0.26018920422780634,0.6839569160997733
24,0.2503843911195008,0.6778344671201815
