method,bacc,auroc,aupr,acc,weighted_f1
baseline (frozen CLS + linear probe),0.8107,0.9463,0.7981,0.7778,0.7584
LN-tuning (LayerNorm-only),0.8107,0.9598,0.8418,0.7778,0.763
