epoch,train_loss,val_bacc
1,1.7643456029891968,0.425
2,1.2003235197067261,0.6558390022675737
3,0.9501318705081939,0.6828231292517007
4,0.7633989322185516,0.6587868480725624
5,0.6601946967840194,0.660827664399093
6,0.5575550623238087,0.7195011337868481
7,0.4617927673459053,0.658843537414966
8,0.4020627781748772,0.7016439909297052
9,0.3494449803605676,0.6792517006802721
10,0.2752458900585771,0.763718820861678
11,0.21864376179873943,0.7220521541950113
12,0.16167553011327981,0.7175170068027211
13,0.13288142271339892,0.7591836734693878
14,0.11121120642870665,0.7129818594104308
15,0.08809775747358799,0.7367913832199546
16,0.08591130500659347,0.6812358276643992
17,0.06375887902453542,0.7546485260770975
18,0.04647442057728767,0.7129818594104308
19,0.0435348199820146,0.7546485260770975
20,0.036366774807684125,0.7367913832199546
