method,bacc,auroc,aupr,acc,weighted_f1
baseline (frozen CLS + linear probe),0.8107,0.9463,0.7981,0.7778,0.7584
LoRA + linear head (last CLS),0.8107,0.9655,0.8609,0.7778,0.7653
