dataset,fold,arm,label,recall
aptos2019,3,emb_ema,3,0.4722222222222222
aptos2019,3,emb_ema,4,0.5645161290322581
aptos2019,3,first2,0,0.9722991689750693
aptos2019,3,first2,1,0.7105263157894737
aptos2019,3,first2,2,0.7486910994764397
aptos2019,3,first2,3,0.4722222222222222
aptos2019,3,first2,4,0.5161290322580645
aptos2019,3,first2_ema,0,0.9722991689750693
aptos2019,3,first2_ema,1,0.8026315789473685
aptos2019,3,first2_ema,2,0.6701570680628273
aptos2019,3,first2_ema,3,0.4722222222222222
aptos2019,3,first2_ema,4,0.5645161290322581
aptos2019,3,full_llrd,0,0.9722991689750693
aptos2019,3,full_llrd,1,0.8026315789473685
aptos2019,3,full_llrd,2,0.6701570680628273
aptos2019,3,full_llrd,3,0.4722222222222222
aptos2019,3,full_llrd,4,0.5645161290322581
aptos2019,3,full_llrd_ema,0,0.9778393351800554
aptos2019,3,full_llrd_ema,1,0.868421052631579
aptos2019,3,full_llrd_ema,2,0.7643979057591623
aptos2019,3,full_llrd_ema,3,0.4444444444444444
aptos2019,3,full_llrd_ema,4,0.5806451612903226
aptos2019,3,selected_surgical,0,0.9722991689750693
aptos2019,3,selected_surgical,1,0.7105263157894737
aptos2019,3,selected_surgical,2,0.7486910994764397
aptos2019,3,selected_surgical,3,0.4722222222222222
aptos2019,3,selected_surgical,4,0.5161290322580645
aptos2019,4,emb,0,0.9797101449275363
aptos2019,4,emb,1,0.6447368421052632
aptos2019,4,emb,2,0.6634146341463415
aptos2019,4,emb,3,0.358974358974359
aptos2019,4,emb,4,0.484375
aptos2019,4,emb_ema,0,0.9768115942028985
aptos2019,4,emb_ema,1,0.7368421052631579
aptos2019,4,emb_ema,2,0.5609756097560976
aptos2019,4,emb_ema,3,0.5128205128205128
aptos2019,4,emb_ema,4,0.484375
aptos2019,4,first2,0,0.9681159420289855
aptos2019,4,first2,1,0.7894736842105263
aptos2019,4,first2,2,0.47804878048780486
aptos2019,4,first2,3,0.6153846153846154
aptos2019,4,first2,4,0.484375
aptos2019,4,first2_ema,0,0.9710144927536232
aptos2019,4,first2_ema,1,0.6973684210526315
aptos2019,4,first2_ema,2,0.6439024390243903
aptos2019,4,first2_ema,3,0.46153846153846156
aptos2019,4,first2_ema,4,0.53125
aptos2019,4,full_llrd,0,0.9594202898550724
aptos2019,4,full_llrd,1,0.8552631578947368
aptos2019,4,full_llrd,2,0.40487804878048783
aptos2019,4,full_llrd,3,0.38461538461538464
