dataset,arm,reference,n,mean_diff,sd,se_nb,ci_lo,ci_hi,p_nb,wins,holm_p,direction
aptos2019,emb,last2,15,0.0058227480559218375,0.020073540085874645,0.011296011995394001,-0.018404788098349147,0.030050284210192818,0.6142681881184697,7,1.0,1
aptos2019,first2,last2,15,0.0037576140987444365,0.024557202893467855,0.01381910999610562,-0.025881429059762637,0.03339665725725151,0.7896567613923189,7,1.0,1
aptos2019,full_llrd,full,15,0.01120047147760698,0.0421940411029021,0.023743913250653823,-0.03972515758144968,0.062126100536663634,0.644394369845534,8,1.0,1
aptos2019,selected_surgical,selected_training,15,-0.009264961121261924,0.035916142668806585,0.020211142463137884,-0.05261355042379259,0.03408362818126874,0.6536940424882958,5,1.0,-1
aptos2019,emb_ema,emb,15,0.0014593838281500885,0.009754070855623383,0.005488922278665622,-0.010313183606142584,0.01323195126244276,0.7942085593988372,5,1.0,1
aptos2019,first2_ema,first2,15,0.007360142602842301,0.01472228477707732,0.008284692422463944,-0.010408755418344608,0.02512904062402921,0.38933324780631584,9,1.0,1
aptos2019,full_llrd_ema,full_llrd,15,0.038389469580098236,0.02691015423649985,0.015143189679199033,0.005910557943551144,0.07086838121664532,0.023794865406334333,14,0.16656405784434034,1
