dataset,fold,arm,bacc_seed0,bacc_seed1,bacc_seed2,seed_sd,mean_pairwise_seed_disagreement
aptos2019,0,emb,0.7023244058682495,0.6945678305741912,0.6931466118313006,0.004939909351263354,0.047031963470319633
aptos2019,0,emb_ema,0.6907300269521987,0.6789330476177364,0.6803395314867373,0.0064434632808407855,0.058447488584474884
aptos2019,0,first2,0.6590165791097187,0.6820889166868266,0.6837088021776799,0.013812208792184914,0.07214611872146119
aptos2019,0,first2_ema,0.7097272786277784,0.7049096796484348,0.6825766262613151,0.014486387043487006,0.060730593607305934
aptos2019,0,full_llrd,0.701899831704466,0.6910970547953738,0.6493375535061133,0.027758929573131304,0.19452054794520546
aptos2019,0,full_llrd_ema,0.7001112573125294,0.7050170196808089,0.6963107416083336,0.004364815801900642,0.06803652968036529
aptos2019,0,bt_lora,0.6915296602029904,0.6386806174289136,0.7185903790288162,0.04064249382206566,0.11552511415525113
aptos2019,1,emb,0.6932088738174749,0.6962965566915871,0.7049111069097491,0.006064741274204533,0.03351449275362319
aptos2019,1,emb_ema,0.6966253553995329,0.7161052367457333,0.6816507807139576,0.017276251545216108,0.043931159420289856
aptos2019,1,first2,0.6947224948364997,0.7050493805409056,0.7132294704422761,0.00927421681526415,0.0348731884057971
aptos2019,1,first2_ema,0.6955674518470979,0.6955674518470979,0.6955674518470979,0.0,0.0
aptos2019,1,full_llrd,0.7540530303613393,0.7239589097475156,0.6823121621544087,0.036025129774662185,0.1308876811594203
aptos2019,1,full_llrd_ema,0.7606660974769764,0.7402714729749416,0.750212382576638,0.010198386698441248,0.05253623188405796
aptos2019,1,bt_lora,0.7073409096856614,0.7119050254616994,0.7005545891023732,0.005711358644889939,0.09556159420289856
aptos2019,2,emb,0.6828365284570863,0.6828365284570863,0.6828365284570863,1.3597399555105182e-16,0.0
aptos2019,2,emb_ema,0.6740949155251504,0.6878743621819657,0.6896472564029015,0.008513632312008112,0.0449842555105713
aptos2019,2,first2,0.6828365284570863,0.6828365284570863,0.6828365284570863,1.3597399555105182e-16,0.0
aptos2019,2,first2_ema,0.6828365284570863,0.6828365284570863,0.6828365284570863,1.3597399555105182e-16,0.0
aptos2019,2,full_llrd,0.6892980227878733,0.6308230526419724,0.6691853488963512,0.029708325316145118,0.08547008547008546
aptos2019,2,full_llrd_ema,0.7152491906480071,0.7122449524536194,0.7072326733220773,0.004049957597680143,0.04723346828609987
aptos2019,2,bt_lora,0.6770142786359373,0.6840541450385403,0.6696033518473774,0.007226190544190104,0.027440395861448492
aptos2019,3,emb,0.6963652334479491,0.6963652334479491,0.6963652334479491,0.0,0.0
aptos2019,3,emb_ema,0.6963652334479491,0.6963652334479491,0.6963652334479491,0.0,0.0
aptos2019,3,first2,0.683973567744254,0.6967793605858692,0.6918785528905806,0.0064613599772314146,0.06014692378328742
aptos2019,3,first2_ema,0.6963652334479491,0.6963652334479491,0.6963652334479491,0.0,0.0
aptos2019,3,full_llrd,0.6963652334479491,0.6963652334479491,0.6963652334479491,0.0,0.0
aptos2019,3,full_llrd_ema,0.7271495798611128,0.7238107353676801,0.717950127068056,0.004656975840690122,0.05004591368227732
aptos2019,3,bt_lora,0.6969025715576211,0.6769064925801289,0.6834048219479949,0.010200169145423859,0.02571166207529844
aptos2019,4,emb,0.6262421960307,0.6512048899269137,0.6553694886535206,0.01575266720614399,0.08824874256973021
aptos2019,4,emb_ema,0.6543649644085334,0.6581703238437067,0.6554491338622681,0.0019604871312318833,0.021947873799725653
aptos2019,4,first2,0.6670796044223863,0.674843481445068,0.6569100065043513,0.00899359060374982,0.04846822130772748
aptos2019,4,first2_ema,0.6610147628738213,0.7004248588219468,0.6807314434579392,0.019705049118588534,0.08139003200731597
aptos2019,4,full_llrd,0.6614603762291363,0.6634248522031074,0.6537396763995804,0.005119749376282001,0.12391403749428442
aptos2019,4,full_llrd_ema,0.6948415870259301,0.7015138797059948,0.7009454019102328,0.0036990812542790816,0.042066758116140836
aptos2019,4,bt_lora,0.6629213302650541,0.6615168948556235,0.6690428809553455,0.004001797272190716,0.058527663465935076
