dataset,fold,arm,actual_arm,seed,bacc,epoch,lr,inner_bacc,n_train,n_test,predictions_sha256,ref_frozen_lr,ref_lora,ref_last2,ref_full,ref_selected_training,previous_bt
aptos2019,0,emb,emb,0,0.7023244058682495,16,1e-05,0.6650627416664956,2932,730,937b42e0aaf43ee62477787a8f82632175d4cf35e9d5206acd772f6c211a4874,0.6768250100144693,0.6915296602029904,0.6939897449211396,0.6598466327453151,0.6915296602029904,lora
aptos2019,0,emb_ema,emb_ema,0,0.6907300269521987,2,0.0001,0.6748581507431509,2932,730,4642265d706763a140afe09307d741b88f1965e2540b288dd3c27369f0992847,0.6768250100144693,0.6915296602029904,0.6939897449211396,0.6598466327453151,0.6915296602029904,lora
aptos2019,0,first2,first2,0,0.6590165791097187,2,1e-05,0.665954906481477,2932,730,75be9cd27c8b833efff098a74cbcd3ff00775d23a3a79be8b7b92216fb5c9cf6,0.6768250100144693,0.6915296602029904,0.6939897449211396,0.6598466327453151,0.6915296602029904,lora
aptos2019,0,first2_ema,first2_ema,0,0.7097272786277784,2,0.0001,0.6764280848397902,2932,730,5eae42391b057d365bea86db86df489b8fbd12ad69caf1072007bcf6a1909157,0.6768250100144693,0.6915296602029904,0.6939897449211396,0.6598466327453151,0.6915296602029904,lora
aptos2019,0,full_llrd,full_llrd,0,0.701899831704466,4,0.0001,0.682581285591278,2932,730,0b66422f69a55d2d89f801732b5b7ed8b2dd752aaa40e36aac2971e5fbc4c62d,0.6768250100144693,0.6915296602029904,0.6939897449211396,0.6598466327453151,0.6915296602029904,lora
aptos2019,0,full_llrd_ema,full_llrd_ema,0,0.7001112573125294,2,0.0001,0.6996571154376129,2932,730,201fd0175e93d06ed935e1966c10b6e7c941a4c818400fc77838379159988f8c,0.6768250100144693,0.6915296602029904,0.6939897449211396,0.6598466327453151,0.6915296602029904,lora
aptos2019,0,selected_surgical,full_llrd,0,0.701899831704466,4,0.0001,0.682581285591278,2932,730,0b66422f69a55d2d89f801732b5b7ed8b2dd752aaa40e36aac2971e5fbc4c62d,0.6768250100144693,0.6915296602029904,0.6939897449211396,0.6598466327453151,0.6915296602029904,lora
aptos2019,1,emb,emb,0,0.6932088738174749,3,1e-05,0.6722562775174844,2926,736,41d6ab7d853b554c7f471e60d901c62e99bb268afe9e83a0dc5b6903f0b84e1d,0.6955674518470979,0.7073409096856614,0.6874353199788801,0.6305376435574814,0.7073409096856614,lora
aptos2019,1,emb_ema,emb_ema,0,0.6966253553995329,5,0.0001,0.6739718505481603,2926,736,2510f30a3708f53cf725263260d68324643e2e02784ecbb7bc72616ba48332cc,0.6955674518470979,0.7073409096856614,0.6874353199788801,0.6305376435574814,0.7073409096856614,lora
aptos2019,1,first2,first2,0,0.6947224948364997,3,1e-05,0.6789122456830238,2926,736,747afd0ae895f46eccaae617359a3ff8cafe7e0763aa3d420b21d7a71aa118b0,0.6955674518470979,0.7073409096856614,0.6874353199788801,0.6305376435574814,0.7073409096856614,lora
