dataset,arm,reference,n,mean_diff,sd,se_nb,ci_lo,ci_hi,p_nb,wins,holm_p,passes_improvement_gate
aptos2019,emb,frozen_lr,15,-0.0016044141765826137,0.01321998985306873,0.007439303845779259,-0.01756013403237917,0.014351305679213942,0.8323575812644608,3,1.0,False
aptos2019,emb_ema,frozen_lr,15,-0.00014503034843252511,0.009436101600473515,0.005309990983788199,-0.011533828323420363,0.011243767626555313,0.9785958189752944,4,1.0,False
aptos2019,first2,frozen_lr,15,-0.0036695481337600143,0.01088892087225825,0.006127538055755245,-0.016811810185448233,0.009472713917928206,0.5588312984333359,3,1.0,False
aptos2019,first2_ema,frozen_lr,15,0.0036905944690822866,0.00997039204712013,0.0056106530129332996,-0.008343059423578053,0.015724248361742625,0.521346787045658,6,1.0,False
aptos2019,full_llrd,frozen_lr,15,-0.002531983025923131,0.029978086877633585,0.016869611813364285,-0.03871370187355299,0.033649735821706724,0.8828334487316263,6,1.0,False
aptos2019,full_llrd_ema,frozen_lr,15,0.0358574865541751,0.021416237470670955,0.012051590019995456,0.010009396711056353,0.06170557639729385,0.010029961237063921,15,0.07020972865944744,False
aptos2019,selected_surgical,frozen_lr,15,-0.004811542496246461,0.029739374676384562,0.01673528095407289,-0.04070515030509169,0.031082065312598765,0.7779345726392715,6,1.0,False
