contrast,seeds_pass,n_seeds,delta_seed_mean,delta_seed_sd,delta_seed_min,delta_seed_max,group_delta,group_ci,group_holm,group_pass,group_minus_seed0
B1-B0,5,5,0.03938444723692675,0.003046783232482321,0.03489336768370325,0.04282011657548141,0.04088136789895965,"[+0.0095,+0.0723]",0.02767968936266473,True,-0.0005580660168986937
B4-B0,4,5,0.03264167780763896,0.0026616980859132627,0.028832660965929277,0.03605292060636822,0.03026260817480829,"[+0.0097,+0.0509]",0.021287864127540777,True,-0.0033832093983199862
B1d-B0d,5,5,0.042746971442338265,0.003725710961352815,0.03729193402485255,0.04670849484779154,0.035098364474714136,"[+0.0083,+0.0619]",0.02767968936266473,True,-0.005654957967205845
