mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,n_folds,condition,seed,arm,base,mean_arm,mean_base,holm_p,sig_holm,mde_floor,passes_gate,verdict_code
0.041439433915858345,0.016593679518242883,0.009337785068498947,15,0.02141187680631235,0.061466991025404344,0.000562394391572564,0.9811822530959691,False,0.028133266087411988,15,seed,0,B1,B0,0.6882723558288413,0.6468329219129828,0.0009392981765176879,True,0.019,True,gate_passed
0.033645817573128275,0.0131931742315422,0.007424213852627488,15,0.017722462533764395,0.049569172612492156,0.00046964908825884396,0.9563146395192963,False,0.022367979373442006,15,seed,0,B4,B0,0.680478739486111,0.6468329219129828,0.0009392981765176879,True,0.019,True,gate_passed
0.04075332244191998,0.014612487808520265,0.008222906216913127,15,0.023116942651895366,0.0583897022319446,0.00021104968808742094,0.9878404230728369,False,0.02477431284991429,15,seed,0,B1d,B0d,0.6696605780423425,0.6289072556004224,0.0006331490642622628,True,0.019,True,gate_passed
0.03489336768370325,0.01674336751863048,0.009422019211590364,15,0.014685146305386695,0.0551015890620198,0.0023614403808715732,0.9318652373152859,False,0.028387050206863444,15,seed,1,B1,B0,0.6832623155160371,0.6483689478323337,0.0047228807617431465,True,0.019,True,gate_passed
0.028832660965929277,0.023959380352749516,0.013482696460566702,13,-8.48469199188559e-05,0.05775016885177741,0.050588856107828144,0.7384922715180533,False,0.04062122701673036,15,seed,1,B4,B0,0.6772016087982631,0.6483689478323337,0.050588856107828144,False,0.019,False,undetectable
0.04670849484779154,0.019783215861447774,0.011132637428294739,15,0.02283136229017925,0.07058562740540383,0.0008981311654556375,0.9845393992916531,False,0.03354087170858864,15,seed,1,B1d,B0d,0.6721875348476214,0.6254790399998297,0.0026943934963669126,True,0.019,True,gate_passed
0.03935123488347671,0.017168813991433808,0.009661431315266398,15,0.018629525612269607,0.06007294415468381,0.0011407059084589458,0.9675303517085768,False,0.02910836092111269,15,seed,2,B1,B0,0.6862317647630493,0.6468805298795727,0.0034221177253768373,True,0.019,True,gate_passed
0.03163095565187386,0.018214937800045263,0.010250118066093057,15,0.009646638874140676,0.05361527242960705,0.008054640059956568,0.8622249044614079,False,0.030881980776533362,15,seed,2,B4,B0,0.6785114855314464,0.6468805298795727,0.016109280119913135,True,0.019,True,gate_passed
0.04439621717198961,0.026253692679187587,0.014773778125771422,14,0.012709614517596772,0.07608281982638246,0.009456028574044628,0.9395410923639763,False,0.04451105139813714,15,seed,2,B1d,B0d,0.6662039244327699,0.6218077072607804,0.016109280119913135,True,0.019,True,gate_passed
0.04282011657548141,0.02066547759565379,0.01162911383903413,15,0.017878148021250494,0.06776208512971232,0.002462869201749539,0.9650425066811799,False,0.035036676427480054,15,seed,3,B1,B0,0.6873209242981758,0.6445008077226946,0.004925738403499078,True,0.019,True,gate_passed
0.03304603424089515,0.017295211342906684,0.009732559078098243,14,0.012171771090824998,0.05392029739096531,0.004352445034704202,0.8992768340459142,False,0.02932265759460341,15,seed,3,B4,B0,0.6775468419635897,0.6445008077226946,0.004925738403499078,True,0.019,True,gate_passed
0.044584888725137654,0.017688176097048983,0.009953692697657559,15,0.023236341131585795,0.06593343631868952,0.0005194471512384951,0.9865059048534537,False,0.029988898133906677,15,seed,3,B1d,B0d,0.6683316044456186,0.6237467157204809,0.0015583414537154853,True,0.019,True,gate_passed
0.03841808312611403,0.014824404167293503,0.008342158213346343,15,0.020525933241631933,0.05631023301059612,0.00040833105352550847,0.9777786322057594,False,0.025133600210085892,15,seed,4,B1,B0,0.6830926958889082,0.644674612762794,0.0012249931605765253,True,0.019,True,gate_passed
0.03605292060636822,0.023240763382205244,0.01307830810232819,14,0.00800273948801863,0.06410310172471781,0.015440598445403684,0.8800526200163122,False,0.039402869001256724,15,seed,4,B4,B0,0.6807275333691625,0.644674612762794,0.015440598445403684,True,0.019,True,gate_passed
0.03729193402485255,0.017863657476943105,0.010052441586183063,15,0.015731591129744597,0.058852276919960506,0.0023319254844965088,0.9462908813372213,False,0.03028641288032082,15,seed,4,B1d,B0d,0.6676958595377016,0.6304039255128491,0.0046638509689930175,True,0.019,True,gate_passed
0.04088136789895965,0.02602216028015836,0.014643487566878081,14,0.009474210700842506,0.0722885250970768,0.01441161725925204,0.9121052574826276,False,0.04411850659922229,15,group,0,B1,B0,0.6830347098428091,0.6421533419438493,0.02767968936266473,True,0.019,True,gate_passed
0.03026260817480829,0.017074060903566706,0.009608110774267226,15,0.00965526009012874,0.05086995625948784,0.007095954709180259,0.8482304896184987,False,0.02894771458401558,15,group,0,B4,B0,0.6724159501186576,0.6421533419438493,0.021287864127540777,True,0.019,True,gate_passed
0.035098364474714136,0.02217773360509243,0.012480107831605778,14,0.008331195333718275,0.06186553361571,0.013839844681332364,0.8768049295403507,False,0.03760058641857346,15,group,0,B1d,B0d,0.6594335989677831,0.6243352344930688,0.02767968936266473,True,0.019,True,gate_passed
