method,bacc,auroc,aupr,acc,weighted_f1
baseline (frozen CLS + linear probe),0.8107,0.9463,0.7981,0.7778,0.7584
"LoRA(r=8) + multi-layer fusion [11, 15, 19, 23]",0.825,0.963,0.8712,0.7963,0.7875
