epoch,train_loss,val_bacc
1,1.6495594000816345,0.6712585034013605
2,0.9331022089719773,0.7111678004535147
3,0.6657098579406738,0.6616780045351474
4,0.5014626754820347,0.6358843537414967
5,0.4503699608147144,0.6802721088435374
6,0.37246623530983924,0.6542517006802722
7,0.33029268085956576,0.7149659863945578
8,0.26856302343308924,0.6562925170068027
9,0.22164704836905003,0.7024943310657595
10,0.1665197179466486,0.6582766439909297
11,0.13796352297067643,0.6707482993197279
12,0.12250790208578109,0.699092970521542
13,0.09493856495246292,0.6979591836734693
14,0.0650572416279465,0.6741496598639456
15,0.054192280101124195,0.7183673469387755
16,0.04423003860749304,0.6804988662131519
17,0.04540516193024814,0.758049886621315
18,0.05184204775840044,0.6979591836734693
19,0.05883836365304887,0.7104308390022676
20,0.042708315658383074,0.7138321995464852
21,0.04026973458239809,0.7104308390022676
22,0.03635964063694701,0.7077097505668933
23,0.02853904802585021,0.7138321995464852
24,0.025221780324354768,0.6934240362811791
25,0.01992852489114739,0.7172335600907029
26,0.01533321215014439,0.7376417233560091
27,0.035864342032000424,0.7172335600907029
