epoch,train_loss,val_bacc
1,1.382542675593868,0.47950037285607755
2,1.0205841798568145,0.5862030661359521
3,0.849138960026903,0.5541155563303214
4,0.7928596044584992,0.5782469953610894
5,0.7741788830651786,0.6409089940633563
6,0.7194656650550314,0.6462516181308127
7,0.6952204509645525,0.6493974904042018
8,0.6713618777142983,0.660006165845092
9,0.6630279619686916,0.5782000574618025
10,0.6476182061434883,0.5792508336803638
11,0.6247680669550391,0.6774486959721859
12,0.6162723441470007,0.5899644576154643
13,0.6160150887400959,0.6026564784954047
14,0.6143678063650441,0.625943745541061
15,0.5936890489927464,0.60907912619322
16,0.5844575333030206,0.6024959728315432
17,0.5750807095570053,0.6267952455200777
18,0.5787489800270122,0.6343436603168147
19,0.5749718966391925,0.6436270664458583
20,0.5874743831578598,0.5990313166823233
21,0.5482943529130353,0.5680376794470755
