family,dataset,arm,base,n_folds,mean_arm,mean_base,mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,holm_p,sig_holm,mde_floor,mde_post,tost_p,equivalent,passes_gate,verdict_code
pa_nested_v1_F1,oral_diseases,A1_sel,A0_sel,15,0.743208667550773,0.7363816349342667,0.006827032616506316,0.03383387718646435,0.01903938622255906,7,-0.034008389499747306,0.047662454732759936,0.7252631906088456,1.0,False,0.032,0.05736265236466448,0.2501635804166964,False,False,undetectable
pa_nested_v1_F1,oral_diseases,A2_sel,A0_sel,15,0.751989306989307,0.7363816349342667,0.01560767205504047,0.02443549566756516,0.013750621514360918,12,-0.013884477919544927,0.04509982202962587,0.27541335585181503,1.0,False,0.032,0.041428442729512724,0.37705945094509224,False,False,undetectable
pa_nested_v1_F1,oral_diseases,A3_sel,A0_sel,15,0.7286913330334384,0.7363816349342667,-0.007690301900828215,0.048949359472680726,0.027545343243135383,7,-0.06676918740280746,0.05138858360115103,0.7841832398270212,1.0,False,0.032,0.0829897524138233,0.3308954794256431,False,False,undetectable
pa_nested_v1_F1,oral_diseases,A4_sel,A0_sel,15,0.7565609049819577,0.7363816349342667,0.020179270047691135,0.03820088186123502,0.021496837024914717,10,-0.025926859835665672,0.06628539993104794,0.36379415472700327,1.0,False,0.032,0.06476656205119462,0.503268053358516,False,False,undetectable
pa_nested_v1_F1,oral_diseases,A5_sel,A0_sel,15,0.7409823071665176,0.7363816349342667,0.004600672232251172,0.04396956292291411,0.024743055190298673,8,-0.04846790315829526,0.0576692476227976,0.8551606081813699,1.0,False,0.032,0.07454690275882433,0.2718515269503599,False,False,undetectable
pa_nested_v1_F1,oral_diseases,A5s_sel,A0_sel,15,0.735022268180163,0.7363816349342667,-0.0013593667541035896,0.03686551535635126,0.02074538431687799,6,-0.045853790872664106,0.04313505736445692,0.9486815343092461,1.0,False,0.032,0.06250255417007276,0.19204472992126598,False,False,undetectable
pa_nested_v1_F1,oral_diseases,A2d_sel,A0d_sel,15,0.7056162064056802,0.7023923444976076,0.003223861908072482,0.02108571289924255,0.011865593453985905,8,-0.02222530497627072,0.028673028792415685,0.7898195087831321,1.0,False,0.032,0.03574915201809209,0.08962857708257867,False,False,undetectable
pa_nested_v1_F1,aptos2019,B1_sel,B0_sel,15,0.6882723558288413,0.6468329219129828,0.041439433915858345,0.016593679518242883,0.009337785068498947,15,0.02141187680631235,0.061466991025404344,0.000562394391572564,0.007873521482015896,True,0.019,0.028133266087411988,0.9811822530959691,False,True,gate_passed
pa_nested_v1_F1,aptos2019,B2_sel,B0_sel,15,0.6366820207447055,0.6468329219129828,-0.010150901168277372,0.01377294001347392,0.0077504662824033465,3,-0.026773998075925065,0.006472195739370322,0.2113780544612725,1.0,False,0.019,0.02335092622338748,0.11225978277917537,False,False,undetectable
pa_nested_v1_F1,aptos2019,B3_sel,B0_sel,15,0.660929565173597,0.6468329219129828,0.01409664326061424,0.021235565674518373,0.011949920321086438,13,-0.011533386765719926,0.03972667328694841,0.2577999509334176,1.0,False,0.019,0.03600321550028343,0.31448045556289095,False,False,undetectable
pa_nested_v1_F1,aptos2019,B4_sel,B0_sel,15,0.680478739486111,0.6468329219129828,0.033645817573128275,0.0131931742315422,0.007424213852627488,15,0.017722462533764395,0.049569172612492156,0.00046964908825884396,0.00704473632388266,True,0.019,0.022367979373442006,0.9563146395192963,False,True,gate_passed
pa_nested_v1_F1,aptos2019,B5_sel,B0_sel,15,0.6341164565610788,0.6468329219129828,-0.012716465351904006,0.0369667693172518,0.020802363103480683,6,-0.05733309681346363,0.031900166109655625,0.5507991731652828,1.0,False,0.019,0.06267422222122969,0.3657263550112578,False,False,undetectable
pa_nested_v1_F1,aptos2019,B5s_sel,B0_sel,15,0.6466133915399868,0.6468329219129828,-0.0002195303729961943,0.021907338151485163,0.012327947810285126,7,-0.02666034872583037,0.026221287979837977,0.9860436904336096,1.0,False,0.019,0.0371421523963425,0.06545651856785048,False,False,undetectable
pa_nested_v1_F1,aptos2019,B1d_sel,B0d_sel,15,0.6696605780423425,0.6289072556004224,0.04075332244191998,0.014612487808520265,0.008222906216913127,15,0.023116942651895366,0.0583897022319446,0.00021104968808742094,0.003376795009398735,True,0.019,0.02477431284991429,0.9878404230728369,False,True,gate_passed
pa_nested_v1_F1,aptos2019,B3d_sel,B0d_sel,15,0.6302545671527144,0.6289072556004224,0.0013473115522917374,0.02407345557351097,0.013546890173114959,9,-0.027707878153677864,0.030402501258261338,0.9221867807043795,1.0,False,0.019,0.040814632495975264,0.09508170577063058,False,False,undetectable
pa_nested_v1_F1,aptos2019,B4d_sel,B0d_sel,15,0.6625391948797589,0.6289072556004224,0.03363193927933619,0.019349967451529407,0.010888834929358987,14,0.01027771107592218,0.056986167482750205,0.00801075036556706,0.10413975475237178,False,0.019,0.03280633342943353,0.8844439532250088,False,False,undetectable
