epoch,train_loss,val_bacc
1,1.7536670447576164,0.5547052154195011
2,1.1959404833245986,0.6356575963718821
3,0.9143121891682691,0.6968820861678005
4,0.8201086552868976,0.7167800453514739
5,0.7215402538676073,0.7353741496598639
6,0.6456512086609802,0.7210884353741497
7,0.5623399500578347,0.699092970521542
8,0.5482761209258938,0.6764739229024943
9,0.5036963903077758,0.7016439909297052
10,0.47963845611798883,0.6990929705215418
11,0.4548677103132895,0.6891723356009071
12,0.41251362692380306,0.676700680272109
13,0.3979622671509733,0.7016439909297052
14,0.36521592087084703,0.717517006802721
15,0.34432528850318184,0.6752834467120181
