dataset,arm,wave,fold,bacc_regen,bacc_archived,abs_diff,match
aptos2019,B0,w1,0,0.6711051026214648,0.6711051026214648,0.0,True
aptos2019,B0,w1,1,0.6427510783418102,0.6427510783418102,0.0,True
aptos2019,B0,w1,2,0.669678888616773,0.669678888616773,0.0,True
aptos2019,B0,w1,3,0.6579334418694952,0.6579334418694952,0.0,True
aptos2019,B0,w1,4,0.6217396951613836,0.6217396951613836,0.0,True
aptos2019,B0,w1,5,0.6216648776322939,0.6216648776322939,0.0,True
aptos2019,B0,w1,6,0.6681058110445875,0.6681058110445875,0.0,True
aptos2019,B0,w1,7,0.6499067993294952,0.6499067993294952,0.0,True
aptos2019,B0,w1,8,0.6385841893351165,0.6385841893351165,0.0,True
aptos2019,B0,w1,9,0.5892626060102722,0.5892626060102722,0.0,True
aptos2019,B0,w1,10,0.6643416500574583,0.6643416500574583,0.0,True
aptos2019,B0,w1,11,0.6237506041183678,0.6237506041183678,0.0,True
aptos2019,B0,w1,12,0.6377742198276025,0.6377742198276025,0.0,True
aptos2019,B0,w1,13,0.668620569675267,0.668620569675267,0.0,True
aptos2019,B0,w1,14,0.6603350055989561,0.6603350055989561,0.0,True
aptos2019,B1,w1,0,0.653690343902936,0.653690343902936,0.0,True
aptos2019,B1,w1,1,0.6559923879247322,0.6559923879247322,0.0,True
aptos2019,B1,w1,2,0.6721492012694416,0.6721492012694416,0.0,True
aptos2019,B1,w1,3,0.6813626448646872,0.6813626448646872,0.0,True
aptos2019,B1,w1,4,0.639772900608512,0.639772900608512,0.0,True
aptos2019,B1,w1,5,0.6333829364546769,0.6333829364546769,0.0,True
aptos2019,B1,w1,6,0.7017784607029173,0.7017784607029173,0.0,True
aptos2019,B1,w1,7,0.6726985888184067,0.6726985888184067,0.0,True
aptos2019,B1,w1,8,0.6370742745186616,0.6370742745186616,0.0,True
aptos2019,B1,w1,9,0.6073471446234601,0.6073471446234601,0.0,True
aptos2019,B1,w1,10,0.6824855952392458,0.6824855952392458,0.0,True
aptos2019,B1,w1,11,0.6170272611290969,0.6170272611290969,0.0,True
aptos2019,B1,w1,12,0.633974861146888,0.633974861146888,0.0,True
aptos2019,B1,w1,13,0.6739827742198277,0.6739827742198277,0.0,True
aptos2019,B1,w1,14,0.6691026424499651,0.6691026424499651,0.0,True
aptos2019,B2,w1,0,0.6544386899693722,0.6544386899693722,0.0,True
aptos2019,B2,w1,1,0.635869157896624,0.635869157896624,0.0,True
aptos2019,B2,w1,2,0.6546326956093612,0.6546326956093612,0.0,True
aptos2019,B2,w1,3,0.6460145978176871,0.6460145978176871,0.0,True
aptos2019,B2,w1,4,0.6361195979695775,0.6361195979695775,0.0,True
aptos2019,B2,w1,5,0.6313665628450831,0.6313665628450831,0.0,True
aptos2019,B2,w1,6,0.6769720663033024,0.6769720663033024,0.0,True
aptos2019,B2,w1,7,0.6539629522005221,0.6539629522005221,0.0,True
aptos2019,B2,w1,8,0.6690589813250971,0.6690589813250971,0.0,True
aptos2019,B2,w1,9,0.588779246732943,0.588779246732943,0.0,True
aptos2019,B2,w1,10,0.6370491685276887,0.6370491685276887,0.0,True
aptos2019,B2,w1,11,0.6440437786488306,0.6440437786488306,0.0,True
aptos2019,B2,w1,12,0.6305140515415646,0.6305140515415646,0.0,True
aptos2019,B2,w1,13,0.637812072131289,0.637812072131289,0.0,True
aptos2019,B2,w1,14,0.6942684409300319,0.6942684409300319,0.0,True
aptos2019,B3,w1,0,0.6945449340783865,0.6945449340783865,0.0,True
aptos2019,B3,w1,1,0.6695709392230355,0.6695709392230355,0.0,True
aptos2019,B3,w1,2,0.6723366685150806,0.6723366685150806,0.0,True
aptos2019,B3,w1,3,0.6642890606461667,0.6642890606461667,0.0,True
aptos2019,B3,w1,4,0.6442905882279614,0.6442905882279614,0.0,True
aptos2019,B3,w1,5,0.6482167057644779,0.6482167057644779,0.0,True
aptos2019,B3,w1,6,0.6986790627535734,0.6986790627535734,0.0,True
aptos2019,B3,w1,7,0.6610944911764669,0.6610944911764669,0.0,True
aptos2019,B3,w1,8,0.6831477711807304,0.6831477711807304,0.0,True
aptos2019,B3,w1,9,0.612489678210012,0.612489678210012,0.0,True
aptos2019,B3,w1,10,0.6833396972004419,0.6833396972004419,0.0,True
aptos2019,B3,w1,11,0.6405587536490397,0.6405587536490397,0.0,True
aptos2019,B3,w1,12,0.6465779131871436,0.6465779131871436,0.0,True
aptos2019,B3,w1,13,0.671303277783629,0.671303277783629,0.0,True
aptos2019,B3,w1,14,0.6643687307845462,0.6643687307845462,0.0,True
aptos2019,B4,w1,0,0.6656601257019117,0.6656601257019117,0.0,True
aptos2019,B4,w1,1,0.6550806332124235,0.6550806332124235,0.0,True
aptos2019,B4,w1,2,0.6523972410835175,0.6523972410835175,0.0,True
aptos2019,B4,w1,3,0.6953603315978545,0.6953603315978545,0.0,True
aptos2019,B4,w1,4,0.6698928076051497,0.6698928076051497,0.0,True
aptos2019,B4,w1,5,0.6389113164419986,0.6389113164419986,0.0,True
aptos2019,B4,w1,6,0.7208816627539573,0.7208816627539573,0.0,True
aptos2019,B4,w1,7,0.6745185359546129,0.6745185359546129,0.0,True
aptos2019,B4,w1,8,0.6762499825521563,0.6762499825521563,0.0,True
aptos2019,B4,w1,9,0.6192744777151151,0.6192744777151151,0.0,True
aptos2019,B4,w1,10,0.6719828254327057,0.6719828254327057,0.0,True
aptos2019,B4,w1,11,0.6282434773453132,0.6282434773453132,0.0,True
aptos2019,B4,w1,12,0.6747672521105545,0.6747672521105545,0.0,True
aptos2019,B4,w1,13,0.6624598325260798,0.6624598325260798,0.0,True
aptos2019,B4,w1,14,0.6690050162108798,0.6690050162108798,0.0,True
aptos2019,B5,w2,0,0.644197530120672,0.644197530120672,0.0,True
