dataset,fold,mode,a,b,exploratory
aptos2019,8,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.5432999730110168, 0.4447999894618988, -1.0613000392913818, 0.8748000264167786, 0.2849999964237213]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,8,scale,"[0.4223000109195709, 0.3806000053882599, 0.3061000108718872, 0.38850000500679016, 0.3555999994277954]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,9,full,"[0.44920000433921814, 0.33399999141693115, 0.3215000033378601, 0.3840000033378601, 0.3547999858856201]","[-0.25690001249313354, 0.41760000586509705, -0.19200000166893005, 0.03880000114440918, -0.007499999832361937]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,9,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.5730000138282776, 0.4878999888896942, -1.135200023651123, 0.9212999939918518, 0.29910001158714294]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,9,scale,"[0.385699987411499, 0.3799999952316284, 0.29820001125335693, 0.3779999911785126, 0.34610000252723694]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,10,full,"[0.5108000040054321, 0.3253999948501587, 0.3221000134944916, 0.38510000705718994, 0.35899999737739563]","[-0.31779998540878296, 0.4465999901294708, -0.19210000336170197, 0.054499998688697815, 0.008899999782443047]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,10,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.607699990272522, 0.4724000096321106, -1.1002000570297241, 0.9136000275611877, 0.32190001010894775]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,10,scale,"[0.4284999966621399, 0.37380000948905945, 0.2969000041484833, 0.3792000114917755, 0.35040000081062317]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,11,full,"[0.49799999594688416, 0.35420000553131104, 0.3384999930858612, 0.42100000381469727, 0.37119999527931213]","[-0.2784999907016754, 0.39070001244544983, -0.156700000166893, -0.031599998474121094, 0.07609999924898148]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,11,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.5339000225067139, 0.41929998993873596, -1.1124999523162842, 0.9136000275611877, 0.31360000371932983]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,11,scale,"[0.42590001225471497, 0.39660000801086426, 0.3172999918460846, 0.40950000286102295, 0.3691999912261963]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,12,full,"[0.47859999537467957, 0.3569999933242798, 0.34940001368522644, 0.428600013256073, 0.4106000065803528]","[-0.2637999951839447, 0.4814999997615814, -0.1451999992132187, -0.006300000008195639, -0.06620000302791595]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,12,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.5947999954223633, 0.5278000235557556, -1.121399998664856, 0.8083000183105469, 0.3801000118255615]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,12,scale,"[0.4034999907016754, 0.4133000075817108, 0.3305000066757202, 0.4194999933242798, 0.3971000015735626]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,13,full,"[0.5077999830245972, 0.32089999318122864, 0.33329999446868896, 0.4065000116825104, 0.36980000138282776]","[-0.27639999985694885, 0.503000020980835, -0.2102999985218048, -0.03440000116825104, 0.01810000091791153]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,13,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.503600001335144, 0.42730000615119934, -1.1109999418258667, 0.8553000092506409, 0.3319999873638153]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,13,scale,"[0.4311999976634979, 0.3747999966144562, 0.30730000138282776, 0.3935999870300293, 0.3619000017642975]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,14,full,"[0.46160000562667847, 0.3434999883174896, 0.33390000462532043, 0.4077000021934509, 0.37130001187324524]","[-0.25699999928474426, 0.4494999945163727, -0.1656000018119812, -0.03680000081658363, 0.009800000116229057]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,14,offset,"[1.0, 1.0, 1.0, 1.0, 1.0]","[-0.5997999906539917, 0.5045999884605408, -1.1126999855041504, 0.8781999945640564, 0.3296000063419342]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,14,scale,"[0.3930000066757202, 0.39250001311302185, 0.3138999938964844, 0.3970000147819519, 0.36480000615119934]","[0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
