variant,bacc_seed0,bacc_seed_mean,bacc_seed_sd,bacc_ci_lo,bacc_ci_hi,mcc,recall_benign_normal,recall_OPMD,recall_oral_cancer,recall_benign_normal_ci,recall_OPMD_ci,recall_oral_cancer_ci
ce,0.4414985656913368,0.4409429718875503,0.005123974047491919,0.37019879518072285,0.5037516064257028,-0.010831338926406477,0.05249569707401033,0.472,0.8,"[0.043, 0.062]","[0.376, 0.552]","[0.600, 0.950]"
ce_balanced,0.43805622489959833,0.4427648881239243,0.006878470453187118,0.3673236660929432,0.49910920826161786,-0.02010891204831251,0.04216867469879518,0.472,0.8,"[0.034, 0.051]","[0.376, 0.552]","[0.600, 0.950]"
ldam,0.41883993115318413,0.41513643144004586,0.019783221821269494,0.34357802639127943,0.4833173264486517,-0.014981560221941713,0.058519793459552494,0.448,0.75,"[0.048, 0.068]","[0.360, 0.536]","[0.550, 0.900]"
logitadj,0.44763396442914516,0.4509094664371773,0.003324051527786235,0.37703872633390706,0.5089137980493401,-0.011597312039319177,0.04690189328743546,0.496,0.8,"[0.038, 0.056]","[0.400, 0.576]","[0.600, 0.950]"
