bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,alpha,epochs
0.6851469212551893,0.7684203927023286,0.19645293315143247,0.40761441635360607,"[0.9861495844875346, 0.6621621621621622, 0.85, 0.4358974358974359, 0.4915254237288136]",B6s05,aptos2019,0,0.5,200
0.6465108765383426,0.7261416672181329,0.23465211459754434,0.46349691091012285,"[0.9778393351800554, 0.6891891891891891, 0.775, 0.28205128205128205, 0.5084745762711864]",B6s05,aptos2019,1,0.5,200
0.6832129258701399,0.738763396931224,0.2226775956284153,0.4163500113569601,"[0.9722991689750693, 0.6891891891891891, 0.78, 0.5, 0.4745762711864407]",B6s05,aptos2019,2,0.5,200
0.6386809201802394,0.7099250772772665,0.24726775956284153,0.47468369153227596,"[0.9722991689750693, 0.6081081081081081, 0.77, 0.3684210526315789, 0.4745762711864407]",B6s05,aptos2019,3,0.5,200
0.6396886899669605,0.7205570605682559,0.23087431693989072,0.46234907204865694,"[0.9861495844875346, 0.527027027027027, 0.7839195979899497, 0.358974358974359, 0.5423728813559322]",B6s05,aptos2019,4,0.5,200
0.6491208962956463,0.7599711628007834,0.2019099590723056,0.44501469692469275,"[0.9889196675900277, 0.6081081081081081, 0.875, 0.28205128205128205, 0.4915254237288136]",B6s05,aptos2019,5,0.5,200
0.6614536467327208,0.7332253861731444,0.21828103683492497,0.4119118465310775,"[0.9833795013850416, 0.5675675675675675, 0.795, 0.4358974358974359, 0.5254237288135594]",B6s05,aptos2019,6,0.5,200
0.6545800196177209,0.7015884865060507,0.2540983606557377,0.45406908711613153,"[0.9750692520775623, 0.7162162162162162, 0.69, 0.5526315789473685, 0.3389830508474576]",B6s05,aptos2019,7,0.5,200
0.6471226310586844,0.7195770143324495,0.24180327868852458,0.4618457115738209,"[0.9806094182825484, 0.6081081081081081, 0.77, 0.3684210526315789, 0.5084745762711864]",B6s05,aptos2019,8,0.5,200
0.5920008228932068,0.693571147972706,0.25956284153005466,0.5332274122776709,"[0.9778393351800554, 0.5945945945945946, 0.7839195979899497, 0.23076923076923078, 0.3728813559322034]",B6s05,aptos2019,9,0.5,200
0.6732651505442246,0.759731417409033,0.20600272851296045,0.41909078165916513,"[0.9833795013850416, 0.6891891891891891, 0.835, 0.3333333333333333, 0.5254237288135594]",B6s05,aptos2019,10,0.5,200
0.6324639756609332,0.7099595980819726,0.24420190995907232,0.4720052951968535,"[0.9778393351800554, 0.6756756756756757, 0.76, 0.358974358974359, 0.3898305084745763]",B6s05,aptos2019,11,0.5,200
0.6130878406929395,0.7112026040852697,0.24180327868852458,0.48993665481059256,"[0.9806094182825484, 0.6081081081081081, 0.805, 0.3157894736842105, 0.3559322033898305]",B6s05,aptos2019,12,0.5,200
0.661005094770342,0.7487686683962158,0.21584699453551912,0.45143647525641983,"[0.9833795013850416, 0.6486486486486487, 0.83, 0.3684210526315789, 0.4745762711864407]",B6s05,aptos2019,13,0.5,200
0.6633283955610882,0.7429980632100489,0.2226775956284153,0.4497562673319385,"[0.9806094182825484, 0.5405405405405406, 0.8341708542713567, 0.4358974358974359, 0.5254237288135594]",B6s05,aptos2019,14,0.5,200
0.6829978512390833,0.7660085078576239,0.20054570259208732,0.4099432473786669,"[0.9916897506925207, 0.5945945945945946, 0.85, 0.48717948717948717, 0.4915254237288136]",B6s10,aptos2019,0,1.0,200
0.637778114967185,0.7208507916500247,0.24010914051841747,0.4677473087616287,"[0.9944598337950139, 0.6621621621621622, 0.75, 0.3076923076923077, 0.4745762711864407]",B6s10,aptos2019,1,1.0,200
0.66831167305152,0.7284915675651503,0.22950819672131148,0.43225126417557985,"[0.9861495844875346, 0.5675675675675675, 0.77, 0.5263157894736842, 0.4915254237288136]",B6s10,aptos2019,2,1.0,200
0.6427236642248145,0.7114888814001565,0.2459016393442623,0.45817529182311567,"[0.9778393351800554, 0.5675675675675675, 0.765, 0.39473684210526316, 0.5084745762711864]",B6s10,aptos2019,3,1.0,200
0.6083733335290902,0.7276258487838532,0.22814207650273224,0.4956337816951274,"[0.9889196675900277, 0.43243243243243246, 0.864321608040201, 0.23076923076923078, 0.5254237288135594]",B6s10,aptos2019,4,1.0,200
0.6399926911674412,0.7494693080210867,0.21691678035470668,0.4601429020528978,"[0.9889196675900277, 0.6081081081081081, 0.855, 0.2564102564102564, 0.4915254237288136]",B6s10,aptos2019,5,1.0,200
0.6255405610712432,0.7315715954839728,0.22646657571623466,0.45860459320950425,"[0.9889196675900277, 0.5, 0.84, 0.2564102564102564, 0.5423728813559322]",B6s10,aptos2019,6,1.0,200
0.6637117730435257,0.7332556296038156,0.23633879781420766,0.455358313992663,"[0.9889196675900277, 0.5945945945945946, 0.785, 0.5263157894736842, 0.423728813559322]",B6s10,aptos2019,7,1.0,200
0.6498032454258099,0.740505061185117,0.23087431693989072,0.4683721022304054,"[0.9889196675900277, 0.5675675675675675, 0.825, 0.34210526315789475, 0.5254237288135594]",B6s10,aptos2019,8,1.0,200
0.6108076195584963,0.688431420242625,0.2691256830601093,0.517794285351778,"[0.9806094182825484, 0.6216216216216216, 0.7286432160804021, 0.3333333333333333, 0.3898305084745763]",B6s10,aptos2019,9,1.0,200
0.6751827539364044,0.7698519789790422,0.19508867667121418,0.40939351725003637,"[0.9833795013850416, 0.6216216216216216, 0.87, 0.3076923076923077, 0.5932203389830508]",B6s10,aptos2019,10,1.0,200
0.6295510551561071,0.7228678437970881,0.24420190995907232,0.4862518933391275,"[0.9750692520775623, 0.6486486486486487, 0.81, 0.2564102564102564, 0.4576271186440678]",B6s10,aptos2019,11,1.0,200
0.6180194870207077,0.7092787557104439,0.24863387978142076,0.49359661346872014,"[0.9861495844875346, 0.5945945945945946, 0.785, 0.3684210526315789, 0.3559322033898305]",B6s10,aptos2019,12,1.0,200
0.6682462391966124,0.7625141828729529,0.2062841530054645,0.44180550032167476,"[0.9861495844875346, 0.6351351351351351, 0.86, 0.3684210526315789, 0.4915254237288136]",B6s10,aptos2019,13,1.0,200
0.651990635420815,0.7424050984510661,0.2226775956284153,0.4522419337465978,"[0.9889196675900277, 0.5405405405405406, 0.8291457286432161, 0.358974358974359, 0.5423728813559322]",B6s10,aptos2019,14,1.0,200
0.689644785004661,0.7740100500480006,0.19918144611186903,0.4069834414188609,"[0.9916897506925207, 0.6621621621621622, 0.85, 0.4358974358974359, 0.5084745762711864]",B6s20,aptos2019,0,2.0,200
0.629987859977484,0.7112010210337474,0.25375170532060026,0.4909432936459558,"[0.9861495844875346, 0.6621621621621622, 0.745, 0.28205128205128205, 0.4745762711864407]",B6s20,aptos2019,1,2.0,200
0.6110306967843941,0.7182237167262735,0.2336065573770492,0.4814332686599929,"[0.9889196675900277, 0.4189189189189189, 0.84, 0.3157894736842105, 0.4915254237288136]",B6s20,aptos2019,2,2.0,200
0.6166190025416749,0.7188030787377948,0.24453551912568305,0.49192529531268436,"[0.9806094182825484, 0.4864864864864865, 0.835, 0.2894736842105263, 0.4915254237288136]",B6s20,aptos2019,3,2.0,200
0.6440266877893294,0.7301914465339586,0.23087431693989072,0.4653803081946192,"[0.9861495844875346, 0.5405405405405406, 0.8090452261306532, 0.358974358974359, 0.5254237288135594]",B6s20,aptos2019,4,2.0,200
0.6607474393967656,0.7333720807541955,0.2291950886766712,0.44038815382357327,"[0.9889196675900277, 0.6621621621621622, 0.76, 0.3333333333333333, 0.559322033898305]",B6s20,aptos2019,5,2.0,200
0.6616595031758654,0.7354718664384969,0.22646657571623466,0.4234037867335675,"[0.9833795013850416, 0.6216216216216216, 0.785, 0.358974358974359, 0.559322033898305]",B6s20,aptos2019,6,2.0,200
0.6583561568047225,0.7268990129665088,0.24453551912568305,0.4722576773684338,"[0.9833795013850416, 0.6216216216216216, 0.78, 0.5, 0.4067796610169492]",B6s20,aptos2019,7,2.0,200
0.6508985512579577,0.7332358152858455,0.23633879781420766,0.46055328825233516,"[0.9889196675900277, 0.6756756756756757, 0.775, 0.2894736842105263, 0.5254237288135594]",B6s20,aptos2019,8,2.0,200
0.5854055348428948,0.6923747825078873,0.2691256830601093,0.5476942338168512,"[0.9806094182825484, 0.5405405405405406, 0.7939698492462312, 0.20512820512820512, 0.4067796610169492]",B6s20,aptos2019,9,2.0,200
0.6638701908089673,0.75961534845532,0.20463847203274216,0.42270608037747337,"[0.9861495844875346, 0.6216216216216216, 0.845, 0.2564102564102564, 0.6101694915254238]",B6s20,aptos2019,10,2.0,200
0.6170072485744583,0.6985364816595846,0.26330150068212826,0.501811274817707,"[0.9833795013850416, 0.5945945945945946, 0.75, 0.3333333333333333, 0.423728813559322]",B6s20,aptos2019,11,2.0,200
0.6234874090015646,0.7230422937133647,0.2459016393442623,0.503874213102252,"[0.9861495844875346, 0.5675675675675675, 0.83, 0.39473684210526316, 0.3389830508474576]",B6s20,aptos2019,12,2.0,200
0.6726361445721978,0.7546880685390444,0.22131147540983606,0.4530829502209849,"[0.9806094182825484, 0.6756756756756757, 0.83, 0.3684210526315789, 0.5084745762711864]",B6s20,aptos2019,13,2.0,200
0.6294673807228363,0.727257989693956,0.2336065573770492,0.47645734137597656,"[0.9916897506925207, 0.4864864864864865, 0.8190954773869347, 0.3076923076923077, 0.5423728813559322]",B6s20,aptos2019,14,2.0,200
0.6711051026214648,0.7514505306807671,0.21964529331514324,0.4320365624484597,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",B0_ce,aptos2019,0,,200
0.6427510783418102,0.7039616475677131,0.2742155525238745,0.4912475305485306,"[0.9695290858725761, 0.6756756756756757, 0.735, 0.358974358974359, 0.4745762711864407]",B0_ce,aptos2019,1,,200
0.669678888616773,0.7435886113176439,0.22404371584699453,0.4296739791108071,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]",B0_ce,aptos2019,2,,200
0.6579334418694952,0.7282364184219957,0.25,0.4635483394094127,"[0.9806094182825484, 0.6621621621621622, 0.77, 0.3684210526315789, 0.5084745762711864]",B0_ce,aptos2019,3,,200
0.6217396951613836,0.6958101207929825,0.2691256830601093,0.5061754529604131,"[0.9806094182825484, 0.47297297297297297, 0.7537688442211056, 0.358974358974359, 0.5423728813559322]",B0_ce,aptos2019,4,,200
0.6216648776322939,0.7116133714718393,0.252387448840382,0.49116851223367963,"[0.997229916897507, 0.5540540540540541, 0.75, 0.23076923076923078, 0.576271186440678]",B0_ce,aptos2019,5,,200
0.6681058110445875,0.7335939014819487,0.2291950886766712,0.4088964045143209,"[0.9861495844875346, 0.5945945945945946, 0.765, 0.38461538461538464, 0.6101694915254238]",B0_ce,aptos2019,6,,200
0.6499067993294952,0.7215755642917921,0.2581967213114754,0.49828193177449015,"[0.9833795013850416, 0.6081081081081081, 0.77, 0.4473684210526316, 0.4406779661016949]",B0_ce,aptos2019,7,,200
