dataset,arm,base,row,from_pred,to_pred,n,exploratory,n_moderate_images,base_recall_moderate,arm_recall_moderate,delta_recall_moderate_pt,n_lost_from_moderate_cell,n_to_severe_or_prolif,n_to_mild_or_nodr,share_decision_neutral,wilson_lo,wilson_hi,share_by_repeat_min,share_by_repeat_max,share_by_fold_mean,share_by_fold_sd,n_referral_lost,n_referral_gained,p6a_threshold,p6a_supported
aptos2019,B2,B0,transition,mild,proliferative,14.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,moderate,no_dr,4.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,moderate,mild,82.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,moderate,moderate,2163.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,moderate,severe,38.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,moderate,proliferative,29.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,severe,mild,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,severe,moderate,63.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,severe,severe,93.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,severe,proliferative,7.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,proliferative,mild,5.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,proliferative,moderate,71.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,proliferative,severe,10.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B2,B0,transition,proliferative,proliferative,107.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,no_dr,no_dr,9.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,no_dr,mild,14.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,no_dr,moderate,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,no_dr,severe,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,mild,no_dr,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,mild,mild,227.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,mild,moderate,49.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,mild,severe,16.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,mild,proliferative,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,moderate,no_dr,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,moderate,mild,116.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,moderate,moderate,1663.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,moderate,severe,465.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,moderate,proliferative,70.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,severe,moderate,20.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,severe,severe,143.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,severe,proliferative,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,proliferative,mild,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,proliferative,moderate,13.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,proliferative,severe,56.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3,B0,transition,proliferative,proliferative,122.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,no_dr,no_dr,22.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,no_dr,mild,18.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,no_dr,moderate,6.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,mild,no_dr,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,mild,mild,226.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,mild,moderate,69.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,mild,severe,24.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,moderate,no_dr,4.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,moderate,mild,98.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,moderate,moderate,1548.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,moderate,severe,455.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,moderate,proliferative,70.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,severe,mild,6.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,severe,moderate,23.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,severe,severe,177.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,severe,proliferative,13.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,proliferative,mild,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,proliferative,moderate,19.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,proliferative,severe,74.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B3d,B0d,transition,proliferative,proliferative,143.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,no_dr,no_dr,10.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,no_dr,mild,16.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,no_dr,moderate,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,mild,no_dr,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,mild,mild,244.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,mild,moderate,41.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,mild,severe,6.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,mild,proliferative,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,moderate,no_dr,7.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,moderate,mild,107.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,moderate,moderate,1882.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,moderate,severe,207.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,moderate,proliferative,113.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,severe,mild,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,severe,moderate,19.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,severe,severe,140.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,severe,proliferative,5.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,proliferative,no_dr,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,proliferative,mild,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,proliferative,moderate,12.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,proliferative,severe,26.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4,B0,transition,proliferative,proliferative,151.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,no_dr,no_dr,29.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,no_dr,mild,14.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,no_dr,moderate,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,mild,no_dr,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,mild,mild,252.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,mild,moderate,59.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,mild,severe,5.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,mild,proliferative,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,moderate,no_dr,11.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,moderate,mild,100.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,moderate,moderate,1835.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,moderate,severe,148.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,moderate,proliferative,81.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,severe,no_dr,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,severe,mild,13.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,severe,moderate,26.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,severe,severe,157.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,severe,proliferative,22.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,proliferative,no_dr,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,proliferative,mild,7.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,proliferative,moderate,39.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,proliferative,severe,29.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B4d,B0d,transition,proliferative,proliferative,161.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,no_dr,no_dr,15.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,no_dr,mild,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,no_dr,moderate,7.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,no_dr,severe,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,no_dr,proliferative,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,mild,no_dr,7.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,mild,mild,223.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,mild,moderate,60.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,mild,severe,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,mild,proliferative,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,moderate,no_dr,8.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,moderate,mild,73.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,moderate,moderate,2153.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,moderate,severe,54.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,moderate,proliferative,28.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,severe,no_dr,2.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,severe,mild,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,severe,moderate,39.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,severe,severe,115.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,severe,proliferative,6.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,proliferative,no_dr,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,proliferative,mild,6.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,proliferative,moderate,37.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,proliferative,severe,9.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5,B0,transition,proliferative,proliferative,140.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,no_dr,no_dr,18.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,no_dr,mild,5.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,no_dr,moderate,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,no_dr,proliferative,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,mild,no_dr,10.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,mild,mild,232.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,mild,moderate,50.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,mild,severe,3.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,mild,proliferative,1.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,moderate,no_dr,12.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,moderate,mild,97.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,moderate,moderate,2150.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,moderate,severe,34.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,moderate,proliferative,23.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
aptos2019,B5s,B0,transition,severe,mild,6.0,탐색적/exploratory,,,,,,,,,,,,,,,,,,
