mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,arm,base,contrast,kind,question,n_folds,threshold,verdict
-0.010574712811554931,0.03251963056982425,0.018299818339516882,7,-0.049823919577464834,0.02867449395435497,0.5725371371576791,0.3072774746047976,False,0.05513445157715971,A3drw,A0,A3drw-A0,vs_A0,Q-1c,15,0.032,미발동
-0.013379729432360972,0.03184726895634515,0.017921459324683878,5,-0.05181743682000335,0.025057977955281405,0.4676725720420432,0.35867677302474305,False,0.05399451584692105,A3ndrw,A0,A3ndrw-A0,vs_A0,Q-1c,15,0.032,미발동
0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,True,0.0,A3drw,A3,A3drw-A3,vs_bundle,Q-2c,15,0.0132,DRW 무효과(해상도 이내)
0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,True,0.0,A3ndrw,A3n,A3ndrw-A3n,vs_bundle,Q-2c,15,0.0132,DRW 무효과(해상도 이내)
