bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6611721585320345,0.7531085150024582,0.21418826739427013,0.4353229567062141,"[0.9916897506925207, 0.581081081081081, 0.84, 0.38461538461538464, 0.5084745762711864]",w16_fz_ce,aptos2019,0,2929,733
0.6500031412300532,0.7094596924334314,0.25648021828103684,0.44833805737970256,"[0.9861495844875346, 0.6351351351351351, 0.71, 0.41025641025641024, 0.5084745762711864]",w16_fz_wce,aptos2019,0,2929,733
0.6356072983166744,0.6993364871510594,0.27012278308321963,0.4844834444285123,"[0.9695290858725761, 0.6486486486486487, 0.735, 0.3333333333333333, 0.4915254237288136]",w16_fz_ce,aptos2019,1,2929,733
0.6372023671347113,0.6760334268670759,0.3042291950886767,0.49408332758245893,"[0.96398891966759, 0.6756756756756757, 0.645, 0.358974358974359, 0.5423728813559322]",w16_fz_wce,aptos2019,1,2929,733
0.6707933604293057,0.7414843772052209,0.22540983606557377,0.4290054906777757,"[0.9889196675900277, 0.6216216216216216, 0.78, 0.42105263157894735, 0.5423728813559322]",w16_fz_ce,aptos2019,2,2930,732
0.6759443623162108,0.7164329241421439,0.25136612021857924,0.4257931053735552,"[0.9833795013850416, 0.7027027027027027, 0.67, 0.4473684210526316, 0.576271186440678]",w16_fz_wce,aptos2019,2,2930,732
0.661883727570004,0.7265666949670179,0.24863387978142076,0.45281839269195484,"[0.9806094182825484, 0.6486486486486487, 0.76, 0.39473684210526316, 0.5254237288135594]",w16_fz_ce,aptos2019,3,2930,732
0.7035355104858368,0.7275193787260216,0.25136612021857924,0.4052175321008599,"[0.9806094182825484, 0.7162162162162162, 0.675, 0.5526315789473685, 0.5932203389830508]",w16_fz_wce,aptos2019,3,2930,732
0.6146014397819222,0.69026442702831,0.27459016393442626,0.5194117661967262,"[0.9806094182825484, 0.47297297297297297, 0.7437185929648241, 0.3333333333333333, 0.5423728813559322]",w16_fz_ce,aptos2019,4,2930,732
0.634685392522963,0.6859979438964355,0.2827868852459016,0.4894350668888648,"[0.9750692520775623, 0.5540540540540541, 0.6834170854271356, 0.38461538461538464, 0.576271186440678]",w16_fz_wce,aptos2019,4,2930,732
0.6294957854632018,0.7157312833938716,0.24829467939972716,0.4823376044027718,"[0.997229916897507, 0.5675675675675675, 0.75, 0.2564102564102564, 0.576271186440678]",w16_fz_ce,aptos2019,5,2929,733
0.6398039167570131,0.6840661229985969,0.28512960436562074,0.4725675903433076,"[0.9916897506925207, 0.6351351351351351, 0.62, 0.358974358974359, 0.5932203389830508]",w16_fz_wce,aptos2019,5,2929,733
0.6625923723981849,0.7278884153225395,0.23601637107776263,0.4189946256411818,"[0.9806094182825484, 0.5675675675675675, 0.77, 0.38461538461538464, 0.6101694915254238]",w16_fz_ce,aptos2019,6,2929,733
0.705317286360387,0.735975716560251,0.24147339699863574,0.3833365333898692,"[0.9806094182825484, 0.7297297297297297, 0.685, 0.48717948717948717, 0.6440677966101694]",w16_fz_wce,aptos2019,6,2929,733
0.6253660418012266,0.7040298306492038,0.2718579234972678,0.5248226893027588,"[0.9833795013850416, 0.5675675675675675, 0.765, 0.42105263157894735, 0.3898305084745763]",w16_fz_ce,aptos2019,7,2930,732
0.6609750806724843,0.7004348881727255,0.28005464480874315,0.4806543283976028,"[0.9778393351800554, 0.6756756756756757, 0.675, 0.5526315789473685, 0.423728813559322]",w16_fz_wce,aptos2019,7,2930,732
