dataset,estimator,arm,value,rank,exploratory
oral_diseases,ece_top_db,A0d,0.2587848577702589,9,탐색적/exploratory
oral_diseases,cwece_ew,A0d,0.06858429597440513,8,탐색적/exploratory
oral_diseases,cwece_em,A0d,0.05942641755196496,8,탐색적/exploratory
oral_diseases,cwece_db,A0d,0.08872948577663908,9,탐색적/exploratory
oral_diseases,ece_top_ew,A1,0.19627070372153355,6,탐색적/exploratory
oral_diseases,ece_top_em,A1,0.19062513199919254,5,탐색적/exploratory
oral_diseases,ece_top_db,A1,0.24049314460920623,5,탐색적/exploratory
oral_diseases,cwece_ew,A1,0.06354744608595696,7,탐색적/exploratory
oral_diseases,cwece_em,A1,0.055021230869477356,6,탐색적/exploratory
oral_diseases,cwece_db,A1,0.08744168932545811,5,탐색적/exploratory
oral_diseases,ece_top_ew,A2,0.193720634936848,4,탐색적/exploratory
oral_diseases,ece_top_em,A2,0.1901874766673705,4,탐색적/exploratory
oral_diseases,ece_top_db,A2,0.23803135448231302,4,탐색적/exploratory
oral_diseases,cwece_ew,A2,0.06294871803567971,6,탐색적/exploratory
oral_diseases,cwece_em,A2,0.05404392245049506,5,탐색적/exploratory
oral_diseases,cwece_db,A2,0.08764061003451033,6,탐색적/exploratory
oral_diseases,ece_top_ew,A2d,0.21277323950751323,9,탐색적/exploratory
oral_diseases,ece_top_em,A2d,0.21212394039175467,9,탐색적/exploratory
oral_diseases,ece_top_db,A2d,0.2582880366325742,8,탐색적/exploratory
oral_diseases,cwece_ew,A2d,0.0686177969509597,9,탐색적/exploratory
oral_diseases,cwece_em,A2d,0.05980680216194917,9,탐색적/exploratory
oral_diseases,cwece_db,A2d,0.08859697353896578,8,탐색적/exploratory
oral_diseases,ece_top_ew,A3,0.14856722147586102,3,탐색적/exploratory
oral_diseases,ece_top_em,A3,0.15008485255619983,3,탐색적/exploratory
oral_diseases,ece_top_db,A3,0.16543268802953237,3,탐색적/exploratory
oral_diseases,cwece_ew,A3,0.051608191994728776,3,탐색적/exploratory
oral_diseases,cwece_em,A3,0.04569988498142428,3,탐색적/exploratory
oral_diseases,cwece_db,A3,0.0665553942939081,3,탐색적/exploratory
oral_diseases,ece_top_ew,A4,0.19886627786751618,7,탐색적/exploratory
oral_diseases,ece_top_em,A4,0.19669034219521644,7,탐색적/exploratory
