axis,param,bacc,recall_target,fold,frontier_base,family,pareto_union,marked_tau,dataset,exploratory
tau,2.85,0.6657096558412349,0.7368421052631579,0,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.9,0.6657096558412349,0.7368421052631579,0,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,2.95,0.6657096558412349,0.7368421052631579,0,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,3.0,0.6657096558412349,0.7368421052631579,0,A0,panderm,False,False,oral_diseases,탐색적/exploratory
offset,0.0,0.6886837577627052,0.8421052631578947,0,A0,panderm,False,False,oral_diseases,탐색적/exploratory
offset,2.338011503219603,0.6677532263058579,0.8947368421052632,0,A0,panderm,True,False,oral_diseases,탐색적/exploratory
offset,4.264116525650025,0.6593990074253232,0.9473684210526315,0,A0,panderm,True,False,oral_diseases,탐색적/exploratory
offset,13.99470691755414,0.5066822066822066,1.0,0,A0,panderm,True,False,oral_diseases,탐색적/exploratory
tau,0.0,0.7911900964532543,0.47368421052631576,1,A0,panderm,False,True,oral_diseases,탐색적/exploratory
tau,0.05,0.7911900964532543,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.1,0.7911900964532543,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.15,0.7911900964532543,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.2,0.7911900964532543,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.25,0.8041771094402673,0.47368421052631576,1,A0,panderm,True,False,oral_diseases,탐색적/exploratory
tau,0.3,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.35,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.4,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.45,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
tau,0.5,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,True,oral_diseases,탐색적/exploratory
tau,0.55,0.8041771094402673,0.47368421052631576,1,A0,panderm,False,False,oral_diseases,탐색적/exploratory
