dataset,arm,scaling,metric,n_repeats,mean,lo,hi,range,exploratory
aptos2019,B2,temp,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B2,temp,argmax_pred_agree,3,1.0,1.0,1.0,0.0,탐색적/exploratory
aptos2019,B2,temp,ece_top_ew,3,0.015170750629268618,0.012772804344414862,0.01761937457002092,0.004846570225606058,탐색적/exploratory
aptos2019,B2,temp,ece_top_em,3,0.016674549413966573,0.013678730809501593,0.019901151926892888,0.006222421117391295,탐색적/exploratory
aptos2019,B2,temp,ece_top_db,3,0.006853525294387659,0.0,0.01439624736453178,0.01439624736453178,탐색적/exploratory
aptos2019,B2,temp,ece_top_rms_em,3,0.0225054927612746,0.020079033765363685,0.025561552408575303,0.005482518643211618,탐색적/exploratory
aptos2019,B2,temp,ece_top_bias_corr,3,0.015651967466886945,0.011165305044043523,0.020079033765363685,0.008913728721320163,탐색적/exploratory
aptos2019,B2,temp,ece_dep_em,3,0.016674549413966573,0.013678730809501593,0.019901151926892888,0.006222421117391295,탐색적/exploratory
aptos2019,B2,temp,cwece_ew,3,0.01701711812641742,0.01623854119670557,0.017559748956916706,0.001321207760211135,탐색적/exploratory
aptos2019,B2,temp,cwece_em,3,0.016816623297118596,0.015501570608244752,0.018354422149352945,0.002852851541108193,탐색적/exploratory
aptos2019,B2,temp,cwece_db,3,0.024948226350088448,0.02370637270899969,0.02741043901616692,0.0037040663071672315,탐색적/exploratory
aptos2019,B2,temp,cwece_rms_em,3,0.029561828512242667,0.02826403666721595,0.03122747726794397,0.0029634406007280206,탐색적/exploratory
aptos2019,B2,temp,brier_multiclass,3,0.24893682319133706,0.2472612239777749,0.25189845469279987,0.004637230715024976,탐색적/exploratory
aptos2019,B2,temp,brier_balanced,3,0.4735387572003618,0.46898369229869685,0.4773957620704213,0.008412069771724429,탐색적/exploratory
aptos2019,B2,temp,brier_ovr_mean,3,0.04978736463826741,0.049452244795554975,0.05037969093855997,0.0009274461430049952,탐색적/exploratory
aptos2019,B2,temp,nll,3,0.46949779759347005,0.46672302129359555,0.4743250863968692,0.007602065103273659,탐색적/exploratory
aptos2019,B2,temp,acc,3,0.8229564900782815,0.8216821409066084,0.8255051884216276,0.0038230475150191623,탐색적/exploratory
aptos2019,B2,temp,bacc,3,0.6460548170096608,0.6439258108588567,0.6488494659097477,0.004923655050890985,탐색적/exploratory
aptos2019,B2,temp,mean_conf,3,0.8150266913344075,0.8100648182550483,0.8230330230422481,0.012968204787199844,탐색적/exploratory
aptos2019,B2,temp,n_bins_eff_em,3,15.0,15.0,15.0,0.0,탐색적/exploratory
aptos2019,B3,none,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
aptos2019,B3,none,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B3,none,argmax_pred_agree,3,0.9286364463863098,0.9270890223921354,0.9300928454396504,0.0030038230475150085,탐색적/exploratory
aptos2019,B3,none,ece_top_ew,3,0.05795035066200304,0.05565153188739383,0.05921450889505394,0.0035629770076601106,탐색적/exploratory
aptos2019,B3,none,ece_top_em,3,0.05662329947516375,0.05337788869736184,0.05837017738725867,0.004992288689896832,탐색적/exploratory
aptos2019,B3,none,ece_top_db,3,0.0639531768783038,0.05972343773608188,0.06728561695620794,0.0075621792201260585,탐색적/exploratory
