family,dataset,metric,arm,base,mean_base,mean_arm,mean_diff,ci_lo,ci_hi,ttest_p_nb,improves,holm_p,sig_improvement,sig_worsening
oral_w1,oral_diseases,mcc,A1,A0,0.7006528034518757,0.6989262889708964,-0.0017265144809794095,-0.043274804425132735,0.03982177546317392,0.9302447397367754,False,1.0,False,False
oral_w1,oral_diseases,mcc,A2,A0,0.7006528034518757,0.703233457121592,0.00258065366971633,-0.012664116366913178,0.01782542370634584,0.721974244479142,True,1.0,False,False
oral_w1,oral_diseases,mcc,A3,A0,0.7006528034518757,0.6890538974923643,-0.011598905959511525,-0.055936404077282995,0.032738592158259944,0.5836081841105385,False,1.0,False,False
oral_w1,oral_diseases,mcc,A4,A0,0.7006528034518757,0.6910091198145641,-0.009643683637311584,-0.052238608263683976,0.032951240989060805,0.6347697527711943,False,1.0,False,False
aptos_w1,aptos2019,macro_mae,B1,B0,0.24831977774298802,0.27780797033922516,0.029488192596237237,0.014940535318201118,0.04403584987427336,0.0006692182900056865,False,0.002676873160022746,False,True
aptos_w1,aptos2019,macro_mae,B2,B0,0.24831977774298802,0.2341183399309671,-0.014201437812020887,-0.03417971784267893,0.0057768422186371595,0.14962478489743603,True,0.22989165321197902,False,False
aptos_w1,aptos2019,macro_mae,B3,B0,0.24831977774298802,0.28227137521526174,0.03395159747227376,0.010889551330806706,0.05701364361374082,0.0069863813556311485,False,0.020959144066893445,False,True
aptos_w1,aptos2019,macro_mae,B4,B0,0.24831977774298802,0.26579456136296425,0.017474783619976293,-0.004822539014365135,0.03977210625431772,0.11494582660598951,False,0.22989165321197902,False,False
oral_mixup,oral_diseases,mcc,A5,A0,0.7006528034518757,0.6617631915575587,-0.03888961189431697,-0.09148095527882845,0.013701731490194505,0.1350612802581252,False,0.2701225605162504,False,False
oral_mixup,oral_diseases,mcc,A5s,A0,0.7006528034518757,0.6925650713216083,-0.00808773213026719,-0.0574554078696949,0.04127994360916053,0.7305405894389752,False,0.7305405894389752,False,False
aptos_mixup,aptos2019,macro_mae,B5,B0,0.24831977774298802,0.2541448298655375,0.005825052122549499,-0.011774277669317133,0.02342438191441613,0.4894316580148287,False,0.9788633160296574,False,False
aptos_mixup,aptos2019,macro_mae,B5s,B0,0.24831977774298802,0.2521445416073376,0.003824763864349643,-0.010296288681458866,0.017945816410158154,0.570523876165123,False,0.9788633160296574,False,False
oral_d2,oral_diseases,mcc,A2d,A0d,0.6519530942309589,0.648958399543232,-0.00299469468772704,-0.020024166771230183,0.014034777395776103,0.711704034163789,False,0.711704034163789,False,False
aptos_d2,aptos2019,macro_mae,B1d,B0d,0.27271176416503273,0.28518141629205523,0.012469652127022461,-6.51530948283692e-05,0.025004457348873292,0.05104755543684567,False,0.10209511087369134,False,False
aptos_d2,aptos2019,macro_mae,B3d,B0d,0.27271176416503273,0.322864590710631,0.0501528265455982,0.027641557499889623,0.07266409559130678,0.00029429725916367615,False,0.0008828917774910284,False,True
aptos_d2,aptos2019,macro_mae,B4d,B0d,0.27271176416503273,0.28163186445900645,0.008920100293973658,-0.004346371466173955,0.02218657205412127,0.17126753413599555,False,0.17126753413599555,False,False
