mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,n_folds,arm,base,dataset,family,holm_p,sig_holm,mde_floor,passes_gate,verdict_code
0.07182541438876004,0.028579193380545383,0.01608241046991483,15,0.0373320745032568,0.1063187542742633,0.0005327031753529156,0.9969301682218932,False,0.04845375319288194,15,w16_ft2,w16_ft0,aptos2019,w16_lpft,0.0007507608827801768,True,0.019,True,gate_passed
0.07037123593630673,0.025469847737526086,0.014332683937817607,15,0.039630686224342196,0.10111178564827127,0.00023003115022947194,0.9982823660612333,False,0.043182104536738354,15,w16_lpft2,w16_ft0,aptos2019,w16_lpft,0.0006900934506884158,True,0.019,True,gate_passed
0.06703975050548881,0.025622244277743133,0.014418442261410947,15,0.036115267482703134,0.09796423352827449,0.0003753804413900884,0.9971648709348679,False,0.04344048077041304,15,w16_lpft4,w16_ft0,aptos2019,w16_lpft,0.0007507608827801768,True,0.019,True,gate_passed
-0.0014541784524533178,0.02809590044275872,0.01581044634205435,6,-0.03536421329693022,0.032455856392023585,0.9280204068716562,0.13018184606675773,False,0.047634368390254214,15,w16_lpft2,w16_ft2,aptos2019,w16_lpft_secondary,1.0,False,0.019,False,undetectable
-0.0033314854308179155,0.02694560570886153,0.015163139337073963,6,-0.03585318482801695,0.029190213966381117,0.8292686685693021,0.14509563397188951,False,0.0456841350021675,15,w16_lpft4,w16_lpft2,aptos2019,w16_lpft_secondary,1.0,False,0.019,False,undetectable
0.06577204516375341,0.027352195098685923,0.015391939967406634,15,0.03275961722042967,0.09878447310707716,0.0007726843343291436,0.9949694466893184,False,0.04637347502947585,15,w16_lpft2_dpoff,w16_ft0,aptos2019,w16_lpft_secondary,0.0030907373373165745,True,0.019,True,gate_passed
0.004599190772553315,0.022773985993807366,0.012815637793256427,9,-0.02288761856359937,0.032086000108706,0.7250442771600022,0.12470324906034931,False,0.03861148500129692,15,w16_lpft2,w16_lpft2_dpoff,aptos2019,w16_lpft_secondary,1.0,False,0.019,False,undetectable
0.0473747402694771,0.0551305360600716,0.031023685607168557,13,-0.019164447630925195,0.11391392816987939,0.14902096385458194,0.8037653777322111,False,0.0934694465332391,15,w16_ft2,w16_ft0,oral_diseases,w16_lpft,0.44570715501636127,False,0.032,False,undetectable
0.046801152064309945,0.05587821791002272,0.03144442968667097,11,-0.020640442136829362,0.11424274626544925,0.15882848162034965,0.7958131980280467,False,0.09473708174400015,15,w16_lpft2,w16_ft0,oral_diseases,w16_lpft,0.44570715501636127,False,0.032,False,undetectable
0.04623753926385502,0.053742641418261274,0.03024267366532056,12,-0.01862654462056685,0.1111016231482769,0.14856905167212042,0.7998709043188545,False,0.09111638136668408,15,w16_lpft4,w16_ft0,oral_diseases,w16_lpft,0.44570715501636127,False,0.032,False,undetectable
-0.0005735882051671526,0.039339602835756916,0.022137631111686564,7,-0.048054084715547514,0.046906908305213206,0.9796947489568025,0.19750469045170968,False,0.0666971730492342,15,w16_lpft2,w16_ft2,oral_diseases,w16_lpft_secondary,1.0,False,0.032,False,undetectable
-0.0005636128004549231,0.041865156785512385,0.023558839707151377,6,-0.05109229858714257,0.04996507298623273,0.9812511806571649,0.21159922149013932,False,0.07097904924242524,15,w16_lpft4,w16_lpft2,oral_diseases,w16_lpft_secondary,1.0,False,0.032,False,undetectable
