family,dataset,base_arm,tau,fold,n_train,n_test,bacc,mcc,mae_sample,mae_class,recall_0,recall_1,recall_2,recall_3,recall_4,pi_0,pi_1,pi_2,pi_3,pi_4,recall_5,recall_6,pi_5,pi_6,exploratory
panderm,aptos2019,B0,0.0,0,2929,733,0.6711051026214648,0.7514505306807671,0.21964529331514324,0.4320365624484597,0.9833795013850416,0.5675675675675675,0.835,0.41025641025641024,0.559322033898305,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,0,2929,733,0.669505676836913,0.725079027873713,0.24283765347885403,0.4304820716045187,0.9806094182825484,0.6486486486486487,0.74,0.4358974358974359,0.5423728813559322,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,0,2929,733,0.6791980241590083,0.6964177369197169,0.2783083219645293,0.42774391576203874,0.9750692520775623,0.7027027027027027,0.62,0.5897435897435898,0.5084745762711864,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,1,2929,733,0.6427510783418102,0.7039616475677131,0.2742155525238745,0.4912475305485306,0.9695290858725761,0.6756756756756757,0.735,0.358974358974359,0.4745762711864407,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,1,2929,733,0.6516028664830487,0.6919050496929211,0.28512960436562074,0.4728364203733939,0.9667590027700831,0.7162162162162162,0.665,0.38461538461538464,0.5254237288135594,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,1,2929,733,0.6514179652173454,0.6631688258179187,0.3165075034106412,0.4723496938631452,0.9584487534626038,0.7297297297297297,0.565,0.46153846153846156,0.5423728813559322,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,2,2930,732,0.669678888616773,0.7435886113176439,0.22404371584699453,0.4296739791108071,0.9861495844875346,0.6351351351351351,0.79,0.39473684210526316,0.5423728813559322,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,2,2930,732,0.675858267676569,0.717607478966996,0.2568306010928962,0.4317262414299365,0.9806094182825484,0.6756756756756757,0.69,0.47368421052631576,0.559322033898305,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,2,2930,732,0.685666455600631,0.7064156692160947,0.2786885245901639,0.42586789761732247,0.9695290858725761,0.7162162162162162,0.64,0.5263157894736842,0.576271186440678,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,3,2930,732,0.6579334418694952,0.7282364184219957,0.25,0.4635483394094127,0.9806094182825484,0.6621621621621622,0.77,0.3684210526315789,0.5084745762711864,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,3,2930,732,0.6802636730819744,0.7176672164044234,0.25956284153005466,0.42926895565456064,0.9806094182825484,0.7027027027027027,0.685,0.47368421052631576,0.559322033898305,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
