dataset,arm,wave,scope,n_folds,count_multiplicity,true_idx,true_class,pred_idx,pred_class,count,row_total,row_frac,row_frac_repeat_sd,row_frac_repeat_min,row_frac_repeat_max,row_frac_fold_sd,row_frac_fold_min,row_frac_fold_max,n_folds_used_for_fold_spread,note
oral_diseases,A0,w1,folds_all,15,3,3,MC,0,CaS,8,270,0.02962962962962963,0.02312962221629036,0.011111111111111112,0.05555555555555555,0.04632274376848843,0.0,0.16666666666666666,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,3,MC,1,CoS,13,270,0.04814814814814815,0.00641500299099584,0.044444444444444446,0.05555555555555555,0.0508597453574515,0.0,0.16666666666666666,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,3,MC,2,Gum,20,270,0.07407407407407407,0.006415002990995843,0.06666666666666667,0.07777777777777778,0.05421667071936295,0.0,0.16666666666666666,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,3,MC,3,MC,166,270,0.6148148148148148,0.025660011963983403,0.6,0.6444444444444445,0.06460661951477102,0.5,0.6666666666666666,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,3,MC,4,OC,27,270,0.1,0.01924500897298752,0.07777777777777778,0.1111111111111111,0.05228466378412889,0.0,0.2222222222222222,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,3,MC,5,OLP,26,270,0.0962962962962963,0.02312962221629036,0.07777777777777778,0.12222222222222222,0.06460661951477105,0.0,0.2777777777777778,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,3,MC,6,OT,10,270,0.037037037037037035,0.016972502573910517,0.022222222222222223,0.05555555555555555,0.045360921162651446,0.0,0.16666666666666666,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,4,OC,0,CaS,1,162,0.006172839506172839,0.010691671651659736,0.0,0.018518518518518517,0.025819888974716113,0.0,0.1,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,4,OC,1,CoS,0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,4,OC,2,Gum,0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,4,OC,3,MC,24,162,0.14814814814814814,0.032075014954979206,0.12962962962962962,0.18518518518518517,0.11803187290910923,0.0,0.36363636363636365,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,4,OC,4,OC,110,162,0.6790123456790124,0.02828750428985088,0.6481481481481481,0.7037037037037037,0.15437219725494855,0.45454545454545453,0.9090909090909091,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,4,OC,5,OLP,22,162,0.13580246913580246,0.038549370360483934,0.09259259259259259,0.16666666666666666,0.10881277675748806,0.0,0.4,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,4,OC,6,OT,5,162,0.030864197530864196,0.028287504289850864,0.0,0.05555555555555555,0.056855831681736566,0.0,0.18181818181818182,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,5,OLP,0,CaS,4,282,0.014184397163120567,0.006142024140315167,0.010638297872340425,0.02127659574468085,0.024091458327213863,0.0,0.05263157894736842,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,5,OLP,1,CoS,1,282,0.0035460992907801418,0.006142024140315167,0.0,0.010638297872340425,0.014344382763731173,0.0,0.05555555555555555,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,5,OLP,2,Gum,10,282,0.03546099290780142,0.006142024140315169,0.031914893617021274,0.0425531914893617,0.025834895663706618,0.0,0.05555555555555555,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,5,OLP,3,MC,30,282,0.10638297872340426,0.010638297872340427,0.09574468085106383,0.11702127659574468,0.04806108860446334,0.05263157894736842,0.21052631578947367,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,5,OLP,4,OC,25,282,0.08865248226950355,0.006142024140315169,0.0851063829787234,0.09574468085106383,0.07749418044528057,0.0,0.2631578947368421,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,5,OLP,5,OLP,186,282,0.6595744680851063,0.018426072420945495,0.648936170212766,0.6808510638297872,0.1097054529028906,0.47368421052631576,0.8421052631578947,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,5,OLP,6,OT,26,282,0.09219858156028368,0.01625026842182922,0.07446808510638298,0.10638297872340426,0.0740923924644607,0.0,0.2631578947368421,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,6,OT,0,CaS,0,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,6,OT,1,CoS,0,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,6,OT,2,Gum,6,189,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.051877646354573474,0.0,0.16666666666666666,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,6,OT,3,MC,11,189,0.0582010582010582,0.036657159948547666,0.015873015873015872,0.07936507936507936,0.05639915530685063,0.0,0.16666666666666666,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,6,OT,4,OC,7,189,0.037037037037037035,0.024246432248443597,0.015873015873015872,0.06349206349206349,0.07070680387937733,0.0,0.23076923076923078,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,6,OT,5,OLP,30,189,0.15873015873015872,0.027492869961410746,0.12698412698412698,0.1746031746031746,0.08046145597192993,0.07692307692307693,0.3333333333333333,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,folds_all,15,3,6,OT,6,OT,135,189,0.7142857142857143,0.031746031746031744,0.6825396825396826,0.746031746031746,0.1566342798087976,0.38461538461538464,0.9230769230769231,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,0,CaS,0,CaS,70,79,0.8860759493670886,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,0,CaS,1,CoS,0,79,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,0,CaS,2,Gum,3,79,0.0379746835443038,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,0,CaS,3,MC,2,79,0.02531645569620253,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,0,CaS,4,OC,2,79,0.02531645569620253,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,0,CaS,5,OLP,1,79,0.012658227848101266,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,0,CaS,6,OT,1,79,0.012658227848101266,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,1,CoS,0,CaS,1,75,0.013333333333333334,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,1,CoS,1,CoS,73,75,0.9733333333333334,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,1,CoS,2,Gum,1,75,0.013333333333333334,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,1,CoS,3,MC,0,75,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,1,CoS,4,OC,0,75,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,1,CoS,5,OLP,0,75,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,1,CoS,6,OT,0,75,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,2,Gum,0,CaS,5,61,0.08196721311475409,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,2,Gum,1,CoS,2,61,0.03278688524590164,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,2,Gum,2,Gum,41,61,0.6721311475409836,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,2,Gum,3,MC,6,61,0.09836065573770492,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,2,Gum,4,OC,0,61,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,2,Gum,5,OLP,4,61,0.06557377049180328,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,2,Gum,6,OT,3,61,0.04918032786885246,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,3,MC,0,CaS,5,90,0.05555555555555555,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,3,MC,1,CoS,4,90,0.044444444444444446,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,3,MC,2,Gum,7,90,0.07777777777777778,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,3,MC,3,MC,54,90,0.6,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,3,MC,4,OC,7,90,0.07777777777777778,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,3,MC,5,OLP,11,90,0.12222222222222222,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,3,MC,6,OT,2,90,0.022222222222222223,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,4,OC,0,CaS,1,54,0.018518518518518517,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,4,OC,1,CoS,0,54,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,4,OC,2,Gum,0,54,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,4,OC,3,MC,7,54,0.12962962962962962,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,4,OC,4,OC,35,54,0.6481481481481481,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,4,OC,5,OLP,8,54,0.14814814814814814,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,4,OC,6,OT,3,54,0.05555555555555555,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,5,OLP,0,CaS,2,94,0.02127659574468085,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,5,OLP,1,CoS,0,94,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,5,OLP,2,Gum,3,94,0.031914893617021274,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,5,OLP,3,MC,10,94,0.10638297872340426,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,5,OLP,4,OC,8,94,0.0851063829787234,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,5,OLP,5,OLP,64,94,0.6808510638297872,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,5,OLP,6,OT,7,94,0.07446808510638298,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,6,OT,0,CaS,0,63,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,6,OT,1,CoS,0,63,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,6,OT,2,Gum,3,63,0.047619047619047616,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,6,OT,3,MC,1,63,0.015873015873015872,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,6,OT,4,OC,4,63,0.06349206349206349,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
oral_diseases,A0,w1,repeat0,5,1,6,OT,5,OLP,8,63,0.12698412698412698,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
