dataset,loss,wd,fold,bacc,bacc_leakex,train_acc,wnorm,exploratory
oral_diseases,wce,0.3,2,0.7375920862762968,,1.0,5.605626583099365,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,1.0,2,0.7455285942128047,,1.0,4.37169885635376,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.0,2,0.7217190704032809,,1.0,7.654768943786621,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.25,2,0.7217190704032809,,1.0,7.645007610321045,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.5,2,0.7217190704032809,,1.0,7.663212776184082,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.75,2,0.713782562466773,,1.0,7.665482997894287,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.0,2,0.7227111338953444,,1.0,7.642430305480957,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.25,2,0.7227111338953444,,1.0,7.634362697601318,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.99,2,0.713782562466773,,1.0,7.665040969848633,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.999,2,0.7227111338953444,,1.0,7.645080089569092,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.9999,2,0.7227111338953444,,1.0,7.64265251159668,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.0001,3,0.7454878454878455,,1.0,7.615595817565918,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.01,3,0.7454878454878455,,1.0,7.515752792358398,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.1,3,0.7454878454878455,,1.0,6.725992679595947,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.3,3,0.7534243534243534,,1.0,5.595600605010986,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,1.0,3,0.7563103563103564,,1.0,4.371914386749268,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.0001,3,0.7454878454878455,,1.0,7.623365879058838,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.01,3,0.7454878454878455,,1.0,7.5230326652526855,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.1,3,0.7584748584748586,,1.0,6.729223728179932,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.3,3,0.7534243534243534,,1.0,5.593315124511719,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,1.0,3,0.7692973692973694,,1.0,4.368735313415527,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.0,3,0.7454878454878455,,1.0,7.615595817565918,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.25,3,0.7454878454878455,,1.0,7.621796607971191,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.5,3,0.7454878454878455,,1.0,7.624621868133545,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.75,3,0.7454878454878455,,1.0,7.634340763092041,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.0,3,0.7454878454878455,,1.0,7.623365879058838,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.25,3,0.7584748584748586,,1.0,7.6283183097839355,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.99,3,0.7454878454878455,,1.0,7.630951404571533,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.999,3,0.7454878454878455,,1.0,7.622543811798096,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.9999,3,0.7454878454878455,,1.0,7.623537540435791,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.0001,4,0.770840562945826,,1.0,7.789458751678467,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.01,4,0.770840562945826,,1.0,7.6890034675598145,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.1,4,0.7827453248505881,,1.0,6.892482757568359,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.3,4,0.7684596105648737,,1.0,5.735186576843262,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,1.0,4,0.7464815885868517,,1.0,4.4504828453063965,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.0001,4,0.7565548486601118,,1.0,7.792013645172119,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.01,4,0.7565548486601118,,1.0,7.69072961807251,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.1,4,0.7684596105648737,,1.0,6.887462139129639,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.3,4,0.7684596105648737,,1.0,5.721136093139648,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,1.0,4,0.7485420281472912,,1.0,4.437845230102539,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.0,4,0.770840562945826,,1.0,7.789458751678467,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.25,4,0.770840562945826,,1.0,7.793863296508789,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.5,4,0.770840562945826,,1.0,7.801524639129639,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.75,4,0.7565548486601118,,1.0,7.790028095245361,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.0,4,0.7565548486601118,,1.0,7.792013645172119,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.25,4,0.7486183407236039,,1.0,7.781795501708984,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.99,4,0.7565548486601118,,1.0,7.792847156524658,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.999,4,0.7565548486601118,,1.0,7.793153285980225,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.9999,4,0.7565548486601118,,1.0,7.79199743270874,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.0001,5,0.7423967845020477,,1.0,7.5349345207214355,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.01,5,0.7423967845020477,,1.0,7.435944557189941,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.1,5,0.7543015464068095,,1.0,6.65591287612915,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.3,5,0.7652905573958205,,1.0,5.551767349243164,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,1.0,5,0.77481436691963,,1.0,4.377041339874268,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.0001,5,0.7423967845020477,,1.0,7.534834861755371,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.01,5,0.7543015464068095,,1.0,7.435299873352051,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.1,5,0.7543015464068095,,1.0,6.6503729820251465,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.3,5,0.7652905573958205,,1.0,5.537538528442383,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,1.0,5,0.7533857954910587,,1.0,4.363099098205566,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.0,5,0.7423967845020477,,1.0,7.5349345207214355,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.25,5,0.7543015464068095,,1.0,7.541012763977051,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.5,5,0.7423967845020477,,1.0,7.541457176208496,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.75,5,0.7423967845020477,,1.0,7.5353474617004395,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.0,5,0.7423967845020477,,1.0,7.534834861755371,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.25,5,0.7423967845020477,,1.0,7.538821220397949,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.99,5,0.7423967845020477,,1.0,7.535584926605225,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.999,5,0.7423967845020477,,1.0,7.532989025115967,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.9999,5,0.7423967845020477,,1.0,7.534956932067871,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.0001,6,0.7286426293005241,,1.0,7.730285167694092,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.01,6,0.7286426293005241,,1.0,7.6293044090271,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.1,6,0.7167378673957622,,1.0,6.8322625160217285,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,0.3,6,0.7246743753322701,,1.0,5.699146747589111,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,ce,1.0,6,0.749566150224045,,1.0,4.478030204772949,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.0001,6,0.7286426293005241,,1.0,7.723219871520996,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.01,6,0.7286426293005241,,1.0,7.621875762939453,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.1,6,0.7286426293005241,,1.0,6.821548938751221,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,0.3,6,0.7365791372370321,,1.0,5.682271480560303,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wce,1.0,6,0.737661388319283,,1.0,4.459366798400879,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.0,6,0.7286426293005241,,1.0,7.730285167694092,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.25,6,0.7286426293005241,,1.0,7.734720706939697,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.5,6,0.7286426293005241,,1.0,7.734246253967285,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,0.75,6,0.7286426293005241,,1.0,7.72334623336792,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.0,6,0.7286426293005241,,1.0,7.723219871520996,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength,1.25,6,0.7286426293005241,,1.0,7.710836410522461,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.99,6,0.7286426293005241,,1.0,7.7230706214904785,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.999,6,0.7286426293005241,,1.0,7.724879741668701,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,wstrength_effnum,0.9999,6,0.7286426293005241,,1.0,7.722996711730957,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
