kind,family,dataset,arm,base,base_src,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,holm_p,mde_floor,mde_post,tost_p,equivalent,tost_significant,passes_mde_gate,r3_adopt,verdict_code,verdict
gate,true_coral_pd,aptos2019,B3c,B0,archive,15,0.6457036359493563,0.5301143366935779,-0.11558929925577831,0.025169703651082696,0,-0.14596759339773913,-0.08521100511381749,1.0852832262791426e-06,0.014163783425685377,2.1705664525582852e-06,0.019,0.04267323406957076,0.9999953317522878,False,False,False,,undetectable,검출 불가 (검정력 부족)
gate,true_coral_pd,aptos2019,B3nc,B0,archive,15,0.6457036359493563,0.54161847064111,-0.10408516530824624,0.025159002092859047,0,-0.13445054332342218,-0.0737197872930703,3.6098178667170603e-06,0.014157761322481525,3.6098178667170603e-06,0.019,0.04265509042730474,0.9999819268645178,False,False,False,,undetectable,검출 불가 (검정력 부족)
gate,true_coral_d2,aptos2019,B3dc,B0d,w2,15,0.6282280398333026,0.5077587499553257,-0.12046928987797666,0.02571562627256327,0,-0.15150647926177216,-0.08943210049418115,8.589919106530395e-07,0.01447099124525383,8.589919106530395e-07,0.019,0.04359880252811366,0.9999965793272619,False,False,False,,undetectable,검출 불가 (검정력 부족)
r3,r3_B3c_vs_B1,aptos2019,B3c,B1,archive,15,0.6554548011915637,0.5301143366935779,-0.1253404644979857,0.025091980795745643,0,-0.1556249519033352,-0.09505597709263619,4.000210454060132e-07,0.014120046331856996,,0.019,0.042541461139530286,0.9999984711546762,False,False,False,False,r3_reject,R3 기각 (CI 하한≤0 또는 하한 미달)
r3,r3_B3dc_vs_B1d,aptos2019,B3dc,B1d,w2,15,0.632086311758716,0.5077587499553257,-0.12432756180339019,0.02489137039846572,0,-0.15436992471887734,-0.09428519888790304,4.0043905205659536e-07,0.014007156555346208,,0.019,0.042201342139378796,0.9999984425093997,False,False,False,False,r3_reject,R3 기각 (CI 하한≤0 또는 하한 미달)
descriptive,head_swap_B3c_vs_B3,aptos2019,B3c,B3,archive,15,0.6636538848253793,0.5301143366935779,-0.13353954813180147,0.023752256655271326,0,-0.16220707037249898,-0.10487202589110395,9.447527400719567e-08,0.013366141445296107,,0.019,0.04027006523325963,0.9999996616943029,False,False,False,,descriptive,기술적 (게이트 없음)
descriptive,head_swap_B3nc_vs_B3n,aptos2019,B3nc,B3n,w12,15,0.6673960435898949,0.54161847064111,-0.12577757294878494,0.022196500861755758,0,-0.1525673930216843,-0.0989877528758856,8.57048068799847e-08,0.012490668756857762,,0.019,0.03763240481213962,0.9999996491513652,False,False,False,,descriptive,기술적 (게이트 없음)
