dataset,arm,source,family,frontier_base,axis,primary,target_class,target_idx,target_is_minority,recall_mean,recall_ci_lo,recall_ci_hi,bacc_mean,bacc_ci_lo,bacc_ci_hi,frontier_mean,frontier_ci_lo,frontier_ci_hi,n_folds_total,n_folds_unreachable,comparable,gap_n_folds,gap_mean,gap_sd,gap_n_above,gap_ci_lo,gap_ci_hi,gap_ttest_p_nb,gap_se_nb,gap_mde_post,gap_tost_p,gap_equivalent,gap_zero_var,gap_noise_flag,above_band,note,mde_floor,exploratory,holm_p,holm_sig
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,False,OLP,5,False,0.6592592592592592,0.5268514818988101,0.7916670366197083,0.7438928663928664,0.6965820417351621,0.7912036910505708,0.7543746993746995,0.7076235681943578,0.8011258305550412,15,0,True,15,-0.010481832981832976,0.0100635430798309,0,-0.022627914478356555,0.001664248514690601,0.08539352102754329,0.005663072027137208,0.017061938247984108,0.057488945120472805,False,False,False,False,,0.032,탐색적/exploratory,0.17078704205508657,False
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,False,OLP,5,False,0.6592592592592592,0.5268514818988101,0.7916670366197083,0.7438928663928664,0.6965820417351621,0.7912036910505708,0.7563939520518468,0.7110194193746443,0.8017684847290493,15,0,True,15,-0.012501085658980383,0.01336076212895981,0,-0.028626709048942413,0.0036245377309816473,0.1185882215953486,0.007518520830440748,0.02265211134706519,0.16775088847832315,False,False,False,False,,0.032,탐색적/exploratory,1.0,False
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,True,OLP,5,False,0.6592592592592592,0.5268514818988101,0.7916670366197083,0.7438928663928664,0.6965820417351621,0.7912036910505708,0.7601163505110874,0.7147953898011574,0.8054373112210174,15,0,True,15,-0.016223484118220957,0.012597670651268758,0,-0.03142810272847335,-0.0010188655079685673,0.03817245855682864,0.007089105269024817,0.02135835033599329,0.3012901830138504,False,False,False,False,,0.032,탐색적/exploratory,0.4580695026819437,False
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,False,OLP,5,False,0.6592592592592592,0.5268514818988101,0.7916670366197083,0.7438928663928664,0.6965820417351621,0.7912036910505708,0.6988646343909503,0.6511901020429203,0.7465391667389802,15,6,False,9,0.037397527748404956,0.04584290478137008,7,-0.02612863690474184,0.10092369240155175,0.21166396958230643,0.02754815730090718,0.08801343291172019,0.7273443592589461,False,False,True,False,이 축의 recall 범위 밖 — 비교 불가 · 잡음 수준 — 부호 해석 금지,0.032,탐색적/exploratory,,False
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,False,OLP,5,False,0.6592592592592592,0.5268514818988101,0.7916670366197083,0.7438928663928664,0.6965820417351621,0.7912036910505708,0.6982681986629354,0.6536159364453662,0.7429204608805047,15,0,True,15,0.045624667729930915,0.043672323380572114,13,-0.007085157697862068,0.0983344931577239,0.08455052638459548,0.02457578915643336,0.07404295671558198,0.8426158340395036,False,False,False,False,,0.032,탐색적/exploratory,0.6666879022824119,False
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,False,OLP,5,False,0.6592592592592592,0.5268514818988101,0.7916670366197083,0.7438928663928664,0.6965820417351621,0.7912036910505708,0.6984238909238909,0.6538595155621889,0.7429882662855929,15,0,True,15,0.045468975468975506,0.04342936267912007,13,-0.006947611239921006,0.09788556217787202,0.08394844525402435,0.024439067532530914,0.0736310361373147,0.8424955958931939,False,False,False,False,,0.032,탐색적/exploratory,0.6067871335826487,False
oral_diseases,A0d,w11_preds_dinov2,panderm,A0,tau,False,OLP,5,False,0.6487329434697855,0.5333261967954978,0.7641396901440732,0.6974539495592127,0.6618729289942631,0.7330349701241623,0.7556101281759177,0.6957740507742067,0.8154462055776286,15,5,False,10,-0.06092428770060347,0.036786589985448585,1,-0.11015615724685246,-0.01169241815435449,0.020732522481053978,0.021763240130208715,0.06845759987653847,0.9536288089817526,False,False,False,False,이 축의 recall 범위 밖 — 비교 불가,0.032,탐색적/exploratory,,False
oral_diseases,A0d,w11_preds_dinov2,panderm,A0,offset,False,OLP,5,False,0.6487329434697855,0.5333261967954978,0.7641396901440732,0.6974539495592127,0.6618729289942631,0.7330349701241623,0.7515490260227102,0.7049739310834173,0.7981241209620031,15,0,True,15,-0.05409507646349752,0.044860206611386046,3,-0.10823860435724766,4.845143025263704e-05,0.050178916507300976,0.025244248390180763,0.07605691841566979,0.9008753806763632,False,False,False,False,,0.032,탐색적/exploratory,0.6021469980876117,False
oral_diseases,A0d,w11_preds_dinov2,panderm,A0,union,False,OLP,5,False,0.6487329434697855,0.5333261967954978,0.7641396901440732,0.6974539495592127,0.6618729289942631,0.7330349701241623,0.7542334760755814,0.7065351779936236,0.8019317741575392,15,0,True,15,-0.05677952651636862,0.04537673960732062,3,-0.11154647816997117,-0.00201257486276607,0.043145708895617384,0.025534917743624777,0.07693265909763146,0.9141235191349352,False,False,False,False,,0.032,탐색적/exploratory,0.4746027978517912,False
oral_diseases,A0d,w11_preds_dinov2,dinov2,A0d,tau,False,OLP,5,False,0.6487329434697855,0.5333261967954978,0.7641396901440732,0.6974539495592127,0.6618729289942631,0.7330349701241623,0.7053230249282881,0.6645353733330336,0.7461106765235427,15,0,True,15,-0.007869075369075374,0.011044923225831161,0,-0.021199622727953032,0.005461471989802286,0.2261483023078351,0.006215325483868601,0.01872579036408549,0.03563161605897005,True,False,True,False,잡음 수준 — 부호 해석 금지,0.032,탐색적/exploratory,0.2261483023078351,False
oral_diseases,A0d,w11_preds_dinov2,dinov2,A0d,offset,False,OLP,5,False,0.6487329434697855,0.5333261967954978,0.7641396901440732,0.6974539495592127,0.6618729289942631,0.7330349701241623,0.7111212228317492,0.6756932591262246,0.7465491865372738,15,0,True,15,-0.013667273272536414,0.00896129910722871,0,-0.024483013654198575,-0.002851532890874253,0.016913544951693914,0.005042804695958958,0.01519317111044955,0.1148723845046945,False,False,False,False,,0.032,탐색적/exploratory,0.20296253942032697,False
oral_diseases,A0d,w11_preds_dinov2,dinov2,A0d,union,True,OLP,5,False,0.6487329434697855,0.5333261967954978,0.7641396901440732,0.6974539495592127,0.6618729289942631,0.7330349701241623,0.7127386112912428,0.6739151206106143,0.7515621019718713,15,0,True,15,-0.015284661732030143,0.01077957864653435,0,-0.028294954399370874,-0.00227436906468941,0.02451380056459899,0.0060660077482909735,0.018275919698209075,0.22494793323565523,False,False,False,False,,0.032,탐색적/exploratory,0.2941656067751879,False
oral_diseases,A1,w11_preds_panderm,panderm,A0,tau,False,OLP,5,False,0.6875243664717348,0.5500729440488987,0.8249757888945708,0.739904043325096,0.6914324177673967,0.7883756688827952,0.7661476608187134,0.7128443720762275,0.8194509495611993,15,5,False,10,-0.021926100215573906,0.024721861715090467,2,-0.055011620547281245,0.011159420116133436,0.16806595965587487,0.01462565062932311,0.04600587654806355,0.5509380431514841,False,False,True,False,이 축의 recall 범위 밖 — 비교 불가 · 잡음 수준 — 부호 해석 금지,0.032,탐색적/exploratory,,False
oral_diseases,A1,w11_preds_panderm,panderm,A0,offset,False,OLP,5,False,0.6875243664717348,0.5500729440488987,0.8249757888945708,0.739904043325096,0.6914324177673967,0.7883756688827952,0.7522252747252748,0.7047373564410652,0.7997131930094844,15,0,True,15,-0.01232123140017877,0.0288345245024845,5,-0.047122740346128206,0.022480277545770668,0.46024056283310644,0.016226093318275556,0.04888664683687545,0.3216695062540893,False,False,True,False,잡음 수준 — 부호 해석 금지,0.032,탐색적/exploratory,1.0,False
oral_diseases,A1,w11_preds_panderm,panderm,A0,union,True,OLP,5,False,0.6875243664717348,0.5500729440488987,0.8249757888945708,0.739904043325096,0.6914324177673967,0.7883756688827952,0.754424926924927,0.7048977556495787,0.8039520982002754,15,0,True,15,-0.014520883599830977,0.029425612449666363,5,-0.05003579957560399,0.020994032375942037,0.39532211778006504,0.016558717086337153,0.04988878951902454,0.3728138948167767,False,False,True,False,잡음 수준 — 부호 해석 금지,0.032,탐색적/exploratory,1.0,False
