n_folds,mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,dataset,arm,ref,family,mde_floor,passes_floor,scoring,exploratory,holm_p,gate_pass
15,0.018371393488248004,0.01620447624776978,0.009118768154038281,12,-0.0011864190587421095,0.03792920603523812,0.06356209753497966,0.43040550133705724,False,0.02747340284501658,aptos2019,affine,B1,holm4,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.2542483901399186,False
15,0.021757457676430655,0.01921954583503475,0.010815442586101157,13,-0.0014393596061784142,0.044954274959039725,0.06390861773235618,0.5633810162765546,False,0.03258521393413394,aptos2019,affine,B1,descriptive,0.019,True,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.0281225587304554,0.01466249355203315,0.008251046020661927,14,0.010425825063942532,0.04581929239696827,0.004241739975437523,0.829193311512042,False,0.024859093617598787,aptos2019,affine,B0,descriptive,0.019,True,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.027083244413647147,0.015822374616879877,0.008903747555403106,14,0.007986605184237876,0.04617988364305642,0.008792029592679875,0.7802085908346723,False,0.026825579868657135,aptos2019,affine,B0,descriptive,0.019,True,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.012339942358757298,0.01371673360389645,0.007718837168949068,12,-0.004215316847409813,0.028895201564924408,0.1322098288753302,0.16892648213719588,False,0.023255632718736496,aptos2019,affine_offset,B1,descriptive,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.016205378480958117,0.015976760092047453,0.008990625115213032,12,-0.0030775945822102656,0.035488351544126495,0.0930339752812926,0.33969387663769474,False,0.027087328183619294,aptos2019,affine_offset,B1,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.022091107600964697,0.016860976871756084,0.009488201691511391,14,0.0017409389207318736,0.042441276281197524,0.03539794867578787,0.5856256502056985,False,0.028586447526930493,aptos2019,affine_offset,B0,descriptive,0.019,True,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.021531165218174612,0.015553883475936338,0.008752659150678252,14,0.0027585783879179454,0.04030375204843128,0.02751149978678245,0.5681831068141725,False,0.02637037445734524,aptos2019,affine_offset,B0,descriptive,0.019,True,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.012969633120067972,0.016987964699781113,0.009559661734060098,12,-0.007533802108141354,0.0334730683482773,0.19634976180098768,0.23711238588091993,False,0.028801745306531703,aptos2019,affine_scale,B1,descriptive,0.019,False,full,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
15,0.015569984290135903,0.019836870746016488,0.011162830718422286,11,-0.008371906434216151,0.039511875014487954,0.1848114943862296,0.3487293596055747,False,0.033631839305194575,aptos2019,affine_scale,B1,descriptive,0.019,False,leak_excluded,탐색적/exploratory (w13 · 판정 아님 / not a verdict),,False
