dataset,family,frontier_base,axis,recall_level,n_folds_valid,n_folds,bacc_mean,bacc_ci_lo,bacc_ci_hi,bacc_min,bacc_max,exploratory
aptos2019,panderm,B0,tau,0.0,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.01,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.02,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.03,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.04,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.05,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.06,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.07,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.08,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.09,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.1,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.11,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.12,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.13,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.14,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.15,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.16,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.17,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.18,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.19,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.2,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.21,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.22,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.23,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.24,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.25,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.26,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.27,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
aptos2019,panderm,B0,tau,0.28,15,15,0.677511946122941,0.6482420554466429,0.706781836799239,0.6403001889052408,0.7247577084573188,탐색적/exploratory
