dataset,arm,config,fold,exploratory,bacc,per_class_recall,qwk,macro_mae,bacc_leakex,n_leaked,train_acc,a_ratio,pair_cos,row_cos,wnorm_ratio,wnorm_spearman
aptos2019,B0,ce·wd1e-4,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6711051026214648,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",0.8932490740714301,0.21964529331514324,0.6541582955857408,39,0.9648344144759303,,,,,
aptos2019,B1,wce·wd1e-4,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.653690343902936,"[0.9806094182825484, 0.6621621621621622, 0.69, 0.41025641025641024, 0.5254237288135594]",0.8827058133675286,0.2605729877216917,0.6359441326004631,39,0.9569819050870604,,,,,
aptos2019,affine,full,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6953168165294087,"[0.9806094182825484, 0.7432432432432432, 0.535, 0.6923076923076923, 0.5254237288135594]",0.8718794703938144,0.28512960436562074,0.6900473878357938,39,,1.5182504653930664,0.9965128779411316,1.0,,
aptos2019,affine_offset,offset,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6712499045289787,"[0.9833795013850416, 0.7027027027027027, 0.555, 0.5897435897435898, 0.5254237288135594]",0.8689426348427514,0.2933151432469304,0.6598352601306299,39,,1.0,1.000000035762787,1.0,,
aptos2019,affine_scale,scale,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6935939419394981,"[0.9861495844875346, 0.7297297297297297, 0.56, 0.6666666666666666, 0.5254237288135594]",0.8797593108035333,0.2742155525238745,0.6889637917661252,39,,1.3734861612319946,0.998138564825058,1.0,,
aptos2019,affine_taunorm,tau=0.0,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6711051026214648,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",0.8932490740714301,0.21964529331514324,0.6541582955857408,39,,,,,2.2295994758605957,-0.7
aptos2019,vs,"g=0.3,t=0.0",0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6922243736077718,"[0.9778393351800554, 0.7297297297297297, 0.425, 0.7692307692307693, 0.559322033898305]",0.8639797693053299,0.3246930422919509,0.68934514689074,39,0.8555821099351314,,0.9820605516433716,0.986462414264679,,
aptos2019,vs_la_corner,"g=0,t=1",0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.657649456862049,"[0.9806094182825484, 0.6756756756756757, 0.645, 0.46153846153846156, 0.5254237288135594]",0.8795150046249891,0.27012278308321963,0.6405595172158477,39,,,0.9783904433250428,0.9771574139595032,,
aptos2019,wd_ce,wd=1.0,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6850755025540226,"[0.9916897506925207, 0.6486486486486487, 0.875, 0.38461538461538464, 0.5254237288135594]",0.9006625313944135,0.19781718963165076,0.6650879692651912,39,0.9392284055991806,,,0.9802444577217102,,
aptos2019,wd_wce,wd=1.0,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6858607670211971,"[0.9833795013850416, 0.7702702702702703, 0.68, 0.48717948717948717, 0.5084745762711864]",0.8929460499203294,0.24147339699863574,0.6733869914182102,39,0.9276203482417207,,,0.9295328259468079,,
